config,config_name,direction,chon_tren,bao_tren,tau,param,tune_cov,tune_prec,n_gold_gt,n_keep,keep_pct,prec_both,ci_lo,ci_hi,prec_label,prec_img,err_img_sai_khe,err_img_khe_chua_xd,err_chu,err_total,ha_oan,ha_dung,err_pool,n_correct
c,chỉ bộ kiểm ảnh verifier_ft (p_wood),T,TK,L16,0.9975,p_wood≥0.99512,0.0114,1.0,11585,39,0.34,1.0,1.0,1.0,1.0,1.0,0,0,0,0,11128,418,418,11167
c2,"hai bộ kiểm ảnh (p_wood ∧ viss), không hình học",T,TK,L16,0.9975,p_wood≥0.99030 ∧ viss≥0.09307,0.2799,0.9977,11585,1233,10.64,0.9927,0.98555,0.99832,0.99676,0.99513,3,3,3,9,9943,409,418,11167
d,hình học + ảnh,T,TK,L16,0.9975,p_wood≥0.99030 ∧ viss≥0.09307,0.2711,0.99762,11585,1176,10.15,0.99575,0.99102,0.99917,0.9966,0.9983,0,2,3,5,9996,413,418,11167
e,hình học + ảnh + dị bản (text_attested),T,TK,L16,0.9975,p_wood≥0.99030 ∧ viss≥0.09307,0.2216,0.99903,11585,1176,10.15,0.99575,0.99102,0.99917,0.9966,0.9983,0,2,3,5,9996,413,418,11167
f,chính sách v3 đầy đủ,T,TK,L16,0.9975,p_wood≥0.99030 ∧ viss≥0.09307,0.2216,0.99903,11585,1176,10.15,0.99575,0.99102,0.99917,0.9966,0.9983,0,2,3,5,9996,413,418,11167
a,pipeline hiện tại (không kiểm),T,TK,L16,0.999,,1.0,,11585,11585,100.0,0.96392,0.95713,0.97035,0.98274,0.97825,187,65,166,418,0,0,418,11167
b,chỉ hình học/trượt,T,TK,L16,0.999,G7 (không bậc nào đạt τ trên sách chọn -> bậc chính xác nhất),0.9476,0.98864,11585,10919,94.25,0.98132,0.97728,0.98494,0.98287,0.99579,1,45,158,204,452,214,418,11167
c,chỉ bộ kiểm ảnh verifier_ft (p_wood),T,TK,L16,0.999,p_wood≥0.99512,0.0114,1.0,11585,39,0.34,1.0,1.0,1.0,1.0,1.0,0,0,0,0,11128,418,418,11167
c2,"hai bộ kiểm ảnh (p_wood ∧ viss), không hình học",T,TK,L16,0.999,p_wood≥inf ∧ viss≥inf,0.0,,11585,0,0.0,,,,,,0,0,0,0,11167,418,418,11167
d,hình học + ảnh,T,TK,L16,0.999,p_wood≥inf ∧ viss≥inf,0.0,,11585,0,0.0,,,,,,0,0,0,0,11167,418,418,11167
e,hình học + ảnh + dị bản (text_attested),T,TK,L16,0.999,p_wood≥inf ∧ viss≥inf,0.0,,11585,0,0.0,,,,,,0,0,0,0,11167,418,418,11167
f,chính sách v3 đầy đủ,T,TK,L16,0.999,p_wood≥inf ∧ viss≥inf,0.0,,11585,0,0.0,,,,,,0,0,0,0,11167,418,418,11167
a,pipeline hiện tại (không kiểm),L,L16,TK,0.98,,1.0,,18550,18550,100.0,0.98156,0.97871,0.98402,0.98863,0.99278,63,71,208,342,0,0,342,18208
b,chỉ hình học/trượt,L,L16,TK,0.98,G5,0.9485,0.98325,18550,17558,94.65,0.9877,0.98611,0.98914,0.98861,0.99897,3,15,198,216,866,126,342,18208
c,chỉ bộ kiểm ảnh verifier_ft (p_wood),L,L16,TK,0.98,p_wood≥0.02600,0.9965,0.98012,18550,18543,99.96,0.98188,0.97913,0.98426,0.98862,0.9931,59,69,208,336,1,6,342,18208
c2,"hai bộ kiểm ảnh (p_wood ∧ viss), không hình học",L,L16,TK,0.98,p_wood≥0.00328 ∧ viss≥0.04550,0.9798,0.98014,18550,18193,98.08,0.98313,0.98057,0.98531,0.98912,0.99384,52,60,195,307,322,35,342,18208
d,hình học + ảnh,L,L16,TK,0.98,p_wood≥0.00328 ∧ viss≥0.00280,0.9484,0.98806,18550,17509,94.39,0.98846,0.98697,0.98986,0.98869,0.99971,1,4,197,202,901,140,342,18208
e,hình học + ảnh + dị bản (text_attested),L,L16,TK,0.98,p_wood≥0.00328 ∧ viss≥0.00280,0.9484,0.98806,18550,12650,68.19,0.99723,0.99625,0.99811,0.99755,0.99968,0,4,31,35,5593,307,342,18208
f,chính sách v3 đầy đủ,L,L16,TK,0.98,p_wood≥0.00328 ∧ viss≥0.00280,0.9484,0.98806,18550,12650,68.19,0.99723,0.99625,0.99811,0.99755,0.99968,0,4,31,35,5593,307,342,18208
a,pipeline hiện tại (không kiểm),L,L16,TK,0.985,,1.0,,18550,18550,100.0,0.98156,0.97871,0.98402,0.98863,0.99278,63,71,208,342,0,0,342,18208
b,chỉ hình học/trượt,L,L16,TK,0.985,G6,0.9461,0.98504,18550,17552,94.62,0.98804,0.98647,0.98948,0.98866,0.99932,1,11,198,210,866,132,342,18208
c,chỉ bộ kiểm ảnh verifier_ft (p_wood),L,L16,TK,0.985,p_wood≥0.34302,0.9912,0.98501,18550,18477,99.61,0.98366,0.98128,0.98565,0.98869,0.9948,35,61,206,302,33,40,342,18208
c2,"hai bộ kiểm ảnh (p_wood ∧ viss), không hình học",L,L16,TK,0.985,p_wood≥0.76228 ∧ viss≥0.00280,0.9798,0.99025,18550,18120,97.68,0.98499,0.98275,0.98694,0.98907,0.99575,21,56,195,272,360,70,342,18208
d,hình học + ảnh,L,L16,TK,0.985,p_wood≥0.00328 ∧ viss≥0.00280,0.9484,0.98806,18550,17509,94.39,0.98846,0.98697,0.98986,0.98869,0.99971,1,4,197,202,901,140,342,18208
e,hình học + ảnh + dị bản (text_attested),L,L16,TK,0.985,p_wood≥0.00328 ∧ viss≥0.00280,0.9484,0.98806,18550,12650,68.19,0.99723,0.99625,0.99811,0.99755,0.99968,0,4,31,35,5593,307,342,18208
f,chính sách v3 đầy đủ,L,L16,TK,0.985,p_wood≥0.00328 ∧ viss≥0.00280,0.9484,0.98806,18550,12650,68.19,0.99723,0.99625,0.99811,0.99755,0.99968,0,4,31,35,5593,307,342,18208
a,pipeline hiện tại (không kiểm),L,L16,TK,0.99,,1.0,,18550,18550,100.0,0.98156,0.97871,0.98402,0.98863,0.99278,63,71,208,342,0,0,342,18208
b,chỉ hình học/trượt,L,L16,TK,0.99,G7 (không bậc nào đạt τ trên sách chọn -> bậc chính xác nhất),0.9439,0.98538,18550,17515,94.42,0.98847,0.98697,0.98986,0.9887,0.99971,1,4,197,202,895,140,342,18208
c,chỉ bộ kiểm ảnh verifier_ft (p_wood),L,L16,TK,0.99,p_wood≥0.76025,0.9802,0.99026,18550,18130,97.74,0.98494,0.98269,0.98688,0.98908,0.9957,22,56,195,273,351,69,342,18208
c2,"hai bộ kiểm ảnh (p_wood ∧ viss), không hình học",L,L16,TK,0.99,p_wood≥0.76228 ∧ viss≥0.00280,0.9798,0.99025,18550,18120,97.68,0.98499,0.98275,0.98694,0.98907,0.99575,21,56,195,272,360,70,342,18208
d,hình học + ảnh,L,L16,TK,0.99,p_wood≥0.76228 ∧ viss≥0.00280,0.9377,0.99246,18550,17176,92.59,0.989,0.98743,0.99044,0.98911,0.99983,1,2,186,189,1221,153,342,18208
e,hình học + ảnh + dị bản (text_attested),L,L16,TK,0.99,p_wood≥0.76228 ∧ viss≥0.00280,0.9377,0.99246,18550,12396,66.82,0.99766,0.9968,0.99846,0.99782,0.99984,0,2,27,29,5841,313,342,18208
f,chính sách v3 đầy đủ,L,L16,TK,0.99,p_wood≥0.76228 ∧ viss≥0.00280,0.9377,0.99246,18550,12396,66.82,0.99766,0.9968,0.99846,0.99782,0.99984,0,2,27,29,5841,313,342,18208
a,pipeline hiện tại (không kiểm),L,L16,TK,0.9925,,1.0,,18550,18550,100.0,0.98156,0.97871,0.98402,0.98863,0.99278,63,71,208,342,0,0,342,18208
b,chỉ hình học/trượt,L,L16,TK,0.9925,G7 (không bậc nào đạt τ trên sách chọn -> bậc chính xác nhất),0.9439,0.98538,18550,17515,94.42,0.98847,0.98697,0.98986,0.9887,0.99971,1,4,197,202,895,140,342,18208
c,chỉ bộ kiểm ảnh verifier_ft (p_wood),L,L16,TK,0.9925,p_wood≥0.85760,0.9696,0.9927,18550,17707,95.46,0.98628,0.98413,0.98818,0.9895,0.99667,11,48,184,243,744,99,342,18208
