char,kDefinition
災,"calamity, disaster, catastrophe"
辦,"manage, do, handle; deal with"
的,"possessive, adjectival suffix"
乎,interrogative or exclamatory final particle
藴,collect
蘆,"rushes, reeds"
淸,clear
蘭,"orchid; elegant, graceful"
混,"to mix, blend, mingle; to bumble along"
寽,a handful; a pinch
圭,jade pointed at top
寗,a surname; peaceful; rather
灼,burn; broil; cauterize; bright
楽,"happy, glad; enjoyable; music"
㽞,"(abbreviated form of 留) to remain; to stay, to detain, to leave behind"
富,"abundant, ample; rich, wealthy"
蠏,crab
淹,"drown; cover with liquid, steep"
熖,"(same as 燄) flame; blazing, brilliant"
為,"do, handle, govern, act; be"
坌,"dust, earth; a bank of earth; to dig; to bring together"
蝎,scorpion
辞,"words, speech, expression, phrase"
清,"clear, pure, clean; peaceful"
寸,"inch; small, tiny; Kangxi radical 41"
蜂,"bee, wasp, hornet"
辛,"bitter; toilsome, laborious; 8th heavenly stem; Kangxi radical 160"
寶,"treasure, jewel; precious, rare"
淫,"obscene, licentious, lewd"
岂,how? what?
盗,"rob, steal; thief, bandit"
荷,"lotus, water lily; Holland"
燹,fire; wild fires
淮,river in Anhui province
爪,"claw, nail, talon; animal feet"
最,"most, extremely, exceedingly"
巍,"high, lofty, majestic, eminent"
崦,"a mountain in Kansu, where there is a cave into which the sun is said to sink at night"
爱,"love, be fond of, like"
崑,Kunlun mountains in Jiangsu province.
圈,to circle; a circle; corral
峯,"peak, summit; hump of camel"
朋,"friend, pal, acquaintance"
岩,cliff; rocks; mountain
榴,pomegranate
薈,"luxuriant, flourishing, abundant"
尼,Buddhist nun; transliteration
蓐,straw bed mat; rushes
盆,"basin, tub, pot, bowl"
朱,"cinnabar, vermilion; surname"
蔓,"creeping plants, tendrils, vines"
就,"just, simply; to come, go to; to approach, near"
葉,"leaf, petal; page of book; period"
㴱,"(ancient form of 深) deep, profound, far, very; extremely"
局,"bureau, office; circumstance"
㓻,(same as 剛) tough; unyielding; inflexible; hard
許,"allow, permit; promise; betroth"
訴,accuse; sue; inform; narrate
貳,accounting numeral for two
詈,"scold, abuse verbally, curse"
貼,"paste to, stick on; attached to"
濟,"to help, aid, relieve; to ferry, cross"
夅,to descend; to come down from heaven. to send down
訥,slow of speech; mumble; stammer
坐,"sit; seat; ride, travel by"
焙,dry over slow fire; bake; roast
塲,"open space, field, market"
漸,gradually; hexagram ䷴
于,"in, on, at; go to; surname"
梓,"Chinese catalpa, Catalpa ovata"
討,"to discuss; ask for, beg; demand; dun; marry"
塵,"dust, dirt, ashes, cinders"
賄,"bribe; riches, wealth"
士,"scholar, gentleman; soldier"
貫,a string of 1000 coins; to go through
棧,"warehouse; tavern, inn"
番,"to take turns; a turn, a time; to repeat"
请,"ask, request; invite; please"
㐫,"(same as 凶) cruel, unfortunate, sad"
谓,"say, tell; call, name; be called"
夷,ancient barbarian tribes
谷,"valley, gorge, ravine; Kangxi radical 150"
夏,"summer; great, grand, big"
槐,locust tree
失,"lose; make mistake, neglect"
豔,"plump, voluptuous, beautiful"
豦,a wild boar; to fight
貞,"virtuous, chaste, pure; loyal"
澮,"irrigation ditch, trench; river"
潜,"hide; hidden, secret, latent"
課,lesson; course; classwork
調,"transfer, move, change; tune"
諶,"sincere, faithful; surname"
諸,"several, various"
奠,pay respect; settle
奘,"large, powerful, stout, thick"
奕,"in sequence, orderly; abundant"
设,build; establish; display
樷,bushy; a grove; crowded
枯,"dried out, withered, decayed"
㸦,(non-classical form same as 互) mutually; together; each other (dialect) scratching or clawing to and fro
学,"learning, knowledge; school"
孝,"filial piety, obedience; mourning"
孙,"grandchild, descendent; surname"
满,"fill; full, satisfied"
袵,lapel; hidden lapel of coat
滿,"fill; full, satisfied"
極,"extreme, utmost, furthest, final"
瘧,intermittent fever; malaria
発,"issue, dispatch, send out, emit"
湯,"hot water; soup, gravy, broth"
橋,"bridge; beam, crosspiece"
宜,"suitable, right, fitting, proper"
發,"issue, dispatch, send out, emit"
軽,"light; easy, simple; gentle"
垩,"holy, sacred, sage; simplification of 堊 chalk; daub with chalk"
趫,nimble
趨,"hasten, hurry; be attracted to"
堕,"fall, sink, let fall; degenerate"
疝,"hernia, rupture"
疚,"chronic disease, chronic illness; sorrow"
蹉,"error, mistake, slip; failure"
姜,surname; ginger
疎,"neglect; careless, lax"
趙,surname; Warring States-era kingdom in modern Hebei and Shanxi
楚,name of feudal state; clear
桐,name applied various trees
塢,"entrenchment, bank, low wall"
執,hold in hand; keep; carry out
疲,"feel tired, be exhausted; weak"
域,"district, region, boundary; land"
踏,"step on, trample, tread on, walk"
埕,"a large, pear-shaped earthenware jar"
𦀇,the past; a classic
媚,"charming, attractive; flatter"
柳,"willow tree; pleasure; 24th lunar mansion, determinative star δ Hydrae"
畄,"stop, halt; stay, detain, keep"
複,"repeat, double, overlap"
娶,"marry, take wife"
栖,perch; roost; stay
西,west(ern); westward; occident; Kangxi radical 146
帚,"broom, broomstick"
工,"labor, work; worker, laborer"
憙,"like, love, enjoy; joyful thing"
施,"grant, bestow; give; act; name"
絀,"sew, stitch; insufficient"
懴,"regret, repent; confess sins"
懔,"be afraid of, to be in awe of"
綽,"graceful, delicate; spacious"
應,"should, ought to, must"
緒,end of thread; thread
慰,"comfort, console, calm"
残,"injure, spoil; oppress; broken"
世,generation; world; era
丘,hill; elder; empty; a name
慈,"kind, charitable, benevolent"
愧,"ashamed, conscience-stricken"
专,"monopolize, take sole possession"
缶,earthen crock or jar; Kangxi radical 121
獵,hunt; field sports
籟,bamboo flute; pipe; various sound
社,"god of the soil and altars to him; group of families; company, society"
扆,screen
粻,provisions
紂,royal name; saddle crupper
獧,rash; honest and straightforward
丆,kwukyel
殘,"injure, spoil; oppress; broken"
糾,"investigate, inspect"
紀,"record, annal, historical account"
绰,"graceful, delicate; spacious"
缾,"jar, bottle"
犀,"rhinoceros; sharp, well-tempered"
恭,"respectful, polite, reverent"
昂,"rise, raise; proud, bold; upright"
罽,a kind of woolen fabric
羌,Qiang nationality; surname
美,"beautiful, pretty; pleasing"
怱,"hastily, in haste, hurriedly"
硏,grind
恶,"evil, wicked, bad, foul"
献,"offer, present; show, display"
没,"not, have not, none; drown, sink"
日,sun; day; daytime
惸,"troubled, worried, distressed"
罘,screen used in ancient times
沾,"moisten, wet, soak; touch"
確,"sure, certain; real, true"
丐,beggar; beg; give
擒,"catch, capture, seize, arrest"
秸,"stalks of millet, corn"
珪,a jade table conferred upon feudal princes by the emperor as a symbol of dignity and authority
散,"scatter, disperse, break up"
撥,"move; dispel; distribute; plectrum, play stringed instrument"
珏,two pieces of jade joined together
摽,throw out; push out; strike
毘,"help, assist; connect, adjoin"
上,"top; superior, highest; go up, send up"
私,"private, personal; secret"
扛,carry on shoulders; lift
禎,"lucky, auspicious, good omen"
祧,an ancestral hall
敖,"ramble, play about; leisurely; surname"
攸,"distant, far; adverbial prefix"
禦,"defend, resist, hold out against"
禮,social custom; manners; courtesy; rites
殿,hall; palace; temple
毫,fine hair; measure of length
箇,"numerary adjunct, piece; single"
拖,"drag, tow, haul; delay, prolong"
投,"throw, cast, fling, pitch; jump"
祁,"pray; numerous, ample, abundant"
筭,"an ancient device for working with numbers; count, calculate, figure"
把,"hold, take; guard; regard as"
找,"search, seek, look for; find"
批,"comment, criticize; wholesale"
扵,"in, on, at, by, from; than; with reference to; compared with"
扳,pull; drag; right itself
扭,"turn, twist, wrench; seize, grasp"
竒,"strange, unusual, uncanny, occult"
按,"put hand on, press down with hand"
搃,"all, general; to summarize; the chief; to manage"
換,"change, exchange; substitute"
掩,"to cover (with the hand); shut, conceal; ambush"
接,receive; continue; catch; connect
穮,weed
掇,"collect, gather up, pick up"
穷,"poor, destitute, impoverished"
突,"suddenly, abruptly, unexpectedly"
窃,"secretly, stealthily; steal; thief"
挑,a load carried on the shoulders; to carry
苟,"careless, frivolous; illicit; grammatical particle: if, but, if only; surname; grass name"
矜,"pity, feel sorry for, show sympathy"
膈,diaphragm
臣,"minister, statesman, official; Kangxi radical 131"
底,"bottom, underneath, underside"
臨,"draw near, approach; descend; hexagram ䷒"
序,"series, serial order, sequence"
年,year; new-years; person's age
舉,"raise, lift up; recommend"
晨,"early morning, daybreak"
干,"oppose, offend; invade; dried"
座,"seat; stand, base"
胸,"breast, bosom, chest; thorax"
胼,"callus, calluses"
此,"this, these; in this case, then"
晏,"peaceful, quiet; clear; late in the day"
晟,"clear, bright; splendor, brightness"
庤,prepare
晝,"daytime, daylight"
腰,waist; kidney
腹,"stomach, belly, abdomen; inside"
巴,"greatly desire, anxiously hope"
差,"to differ; different, wrong; nearly, almost; an officer"
帀,"to go round, to make a circuit, to make a revolution, to turn round"
巧,"skillful, ingenious, clever"
涛,large waves
甜,"sweet, sweetness"
涝,"inundate, flood; torrent"
涒,meander
爷,"father, grandfather"
眼,"eye; eyelet, hole, opening"
般,"sort, manner, kind, category"
船,"ship, boat, vessel"
𩔗,"kind, species; to be similar to"
父,father; Kangxi radical 88
艸,grass; Kangxi radical 140
浮,"to float, drift, waft; to exceed; superfluous"
胠,open; throw away
矣,particle of completed action
徒,"disciple, follower; go on foot"
從,"from, by, since, whence, through"
注,"concentrate, focus, direct"
璽,"imperial signet, royal signet"
物,"thing, substance, creature"
後,"behind, rear, after; descendents"
彼,"that, there, those"
彡,hair; Kangxi radical 59
泪,"tears; weep, cry"
胞,"womb, placenta, fetal membrane"
忘,"forget; neglect; miss, omit"
怛,"grieved, saddened; worried"
忽,"suddenly, abruptly; neglect"
翁,"old man; father, father-in-law"
波,"waves, breakers; undulations"
忍,"endure, bear, suffer; forbear"
翩,"fly, flutter"
春,spring; wanton
泯,"destroy, eliminate; perish"
瓦,tile; earthenware pottery; girl
晃,"bright, dazzling; to sway, shake"
浪,"wave; wasteful, reckless"
肱,forearm
庿,"temple, shrine"
矮,"short, dwarf; low"
丹,cinnabar (native HgS); vermilion (artificial HgS used as pigment)
洞,"cave, grotto; ravine; hole"
聰,"intelligent, clever, bright"
弩,"cross-bow, bow; downward stroke"
弦,"string; hypotenuse, crescent"
版,printing blocks; edition
弘,"enlarge, expand; liberal, great"
式,"style, system, formula, rule"
䝨,"(non-classical form of 賢) virtuous; worthy; good, to esteem as worthy, excelling"
瓣,petal; segment; valves
去,"go away, leave, depart"
勛,meritorious deed; merits; rank
雰,"atmosphere; mist, fog"
嗟,"sigh, alas"
勝,"victory; excel, be better than"
難,"difficult, arduous, hard; unable"
連,"join, connect; continuous; even"
嘉,excellent; joyful; auspicious
佇,wait; look towards; turn one's back on
食,eat; meal; food; Kangxi radical 184
倒,fall over; lie down; take turns
効,"efficacious, effectiveness; to toil, to serve in the army"
逼,"compel, pressure, force; bother"
咳,cough
閃,"flash; avoid, dodge, evade"
閉,"shut, close; obstruct, block up"
里,unit of distance; village; lane; Kangxi radical 166
顺,"obey, submit to, go along with"
咬,"bite, gnaw"
雲,clouds; Yunnan province
閣,"chamber, pavilion; cabinet"
鹿,deer; surname; Kangxi radical 198
俊,"talented, capable; handsome"
俄,"sudden(ly), soon; Russian"
关,frontier pass; close; relation
闥,door; gate
途,"way, road, path, journey; course"
𠔃,an interjection of doubt or inquiry
𢧐,"war, fighting, battle"
器,"receptacle, vessel; instrument"
原,"source, origin, beginning"
噪,be noisy; chirp loudly
吒,"shout, roar, bellow; scold"
闲,"fence, guard; defend; idle time"
凄,"bitter cold, miserable, dreary"
仁,"humaneness, benevolence, kindness"
𠅙,"bright, clear"
和,"harmony, peace; peaceful, calm"
逡,"retreat, withdraw, fall back"
凑,"piece together, assemble"
凍,"freeze; cold, congeal; jelly"
嘵,garrulous; disturbed; restless
飮,drink; swallow; kind of drink
通,pass through; common; communicate
龜,turtle or tortoise; cuckold; Kangxi radical 213
鈍,"blunt, obtuse; dull; flat; dull-witted"
麽,"interrogative final particle; insignificant, small, tiny"
遍,"everywhere, all over, throughout"
鴟,"kite, horned owl; wine cups"
吃,"eat; drink; suffer, endure, bear"
偹,"prepare, ready, perfect"
削,"scrape off, pare, trim"
件,numerary adjunct for article; matter
針,needle; pin; tack; acupuncture
介,"forerunner, herald, harbinger; to lie between; sea shell; to wear armor"
各,"each, individually, every, all"
副,assist; supplement; assistant
哲,"wise, sagacious; wise man, sage"
鵝,goose
喪,mourning; mourn; funeral
唯,only; yes
唐,Tang dynasty; Chinese
则,"rule, law, regulation; grades"
銭,"money, currency, coins"
銑,mill
過,"pass, pass through, go across"
古,"old, classic, ancient"
麺,"flour, dough, noodles"
列,"a line; to arrange in order, classify"
唆,"make mischief, incite, instigate"
鈞,unit of measure equivalent to thirty catties
遊,"wander, roam, travel"
靜,"quiet, still, motionless; gentle"
鼠,"rat, mouse; Kangxi radical 208"
光,"light, brilliant, shine; only"
善,"good, virtuous, charitable, kind"
野,"open country, field; wilderness"
霖,"long spell of rain, copious rain"
顔,"face, facial appearance"
凶,"culprit; murder; bad, sad"
遂,"comply with, follow along; thereupon"
反,"reverse, opposite, contrary, anti"
喚,"call, summon; invite; be called"
今,"now, today, modern era"
鍰,"measure; money, coins"
剰,"leftovers, residue, remains"
創,"establish, create; knife cut"
黓,black
元,first; dollar; origin; head
靖,"pacify; appease; calm, peaceful"
喀,vomit; used in transliterations
霸,rule by might rather than right
鐘,clock; bell
遇,"meet, come across, encounter"
邢,surname; state in today's Hebei
頋,"to care for, to look after to regard; to turn the head round to look"
使,"cause, send on a mission, order; envoy, messenger, ambassador"
防,defend; prevent; embankment
邦,"nation, country, state"
午,seventh earthly branch
冷,"cold, cool; lonely"
侍,"serve, attend upon; attendant, servant; samurai"
隣,neighbor; neighboring; adjacent
匝,full circle; encircle
仐,"(non-standard Japanese variant of 傘) umbrella, parasol, parachute"
还,"still, yet, also, besides"
吩,"order, command, instruct"
佩,"belt ornament, pendant; wear at waist, tie to the belt; respect"
郎,"gentleman, young man; husband"
送,"see off, send off; dispatch, give"
骨,"bone; skeleton; frame, framework; Kangxi radical 188"
仕,official; serve government
邸,"official residence, residence of"
吻,kiss; the lips; coinciding
周,Zhou dynasty; circumference
隋,Sui dynasty; surname
隆,"prosperous, plentiful, abundant"
限,"boundary, limit, line"
邳,"a department in the state of Lu, modern Shandong"
郡,administrative division
传,"summon; propagate, transmit"
匠,"craftsman, artisan; workman"
驊,an excellent horse
作,"make; work; compose, write; act, perform"
呂,surname; a musical note
冥,"dark, gloomy, night; deep"
况,"condition, situation; furthermore"
酒,"wine, spirits, liquor, alcoholic beverage"
陬,"corner, cranny, nook, niche"
位,"throne; position, post; rank, status; seat"
馗,"cheekbone; path, road; intersection"
院,"courtyard, yard, court; school"
厘,"manage, control; thousandth part of tael"
卅,"thirty, thirtieth"
首,"head; first; leader, chief; a poem; Kangxi radical 185"
逆,"disobey, rebel; rebel, traitor"
南,south; southern part; southward
佻,frivolous; unsteady; delay
亲,"relatives, parents; intimate the hazel nut or filbert tree a thorny tree"
骸,"skeleton, body; leg bone"
佳,"good, auspicious; beautiful; delightful"
味,"taste, smell, odor; delicacy"
卡,"card, punch card; calorie"
盡,"exhaust, use up; deplete"
顇,"be worn out, be haggard"
馀,"surplus, excess, remainder"
題,"forehead; title, headline; theme"
頽,ruined
目,"eye; look, see; division, topic; Kangxi radical 109"
磋,"polish, buff; scrutinize"
磴,"steps on ledge, cliff, or hill"
磷,"phosphorus (element 15, P)"
磾,dyestuff (black-colored mineral)
礦,"mine; mineral, ore"
礬,alum
盞,"small cup or container; classifier for lamps, etc."
預,"prepare, arrange; in advance"
頌,"laud, acclaim; hymn; ode"
頗,"lean one side; very, rather"
盜,"rob, steal; thief, bandit"
碩,"great, eminent; large, big"
碪,stone slab used for washing clothes; an anvil
碶,"a flood-gate, a water-gate"
頼,"rely, depend on; accuse falsely"
盍,what? why not?
頭,"head; top; chief, first; boss"
領,"neck; collar; lead, guide"
监,"supervise, control, direct"
顧,look back; look at; look after
飧,"evening meal, supper; cooked food"
真,"real, actual, true, genuine"
硇,sal ammoniac
睥,"look askance at, glare at"
餉,rations and pay for soldiers
睡,"sleep, doze"
着,"make move, take action"
餅,"rice-cakes, biscuits"
餂,to obtain by hook
睪,spy on
飯,cooked rice; food; meal
瞻,look; look out for; respect
飲,drink; swallow; kind of drink
眠,"close eyes, sleep; hibernate"
眶,eye socket; rim of eye
睹,"look at, gaze at; observe"
餒,"hungry, starving, famished"
睫,eyelashes
矰,arrow with attached silk cord
相,"mutual, reciprocal, each other"
砧,anvil; flat stone
餠,"rice-cakes, biscuits"
砜,an organic compound
砕,"break, smash; broken, busted"
顯,"manifest, display; evident, clear"
研,"grind, rub; study, research"
砌,"to build, pile up; stone steps, brick walk"
顛,"top, peak, summit; upset"
硃,a red mole; cinnabar
顙,the forehead; to kowtow
省,"province; save, economize"
飛,fly; go quickly; dart; high; Kangxi radical 183
風,"wind; air; manners, atmosphere; Kangxi radical 182"
盾,"shield, shield-shaped object; currency sign for Dutch guilder"
盻,glare; stare
隱,"hide, conceal; hidden, secret"
窑,kiln; coal mine pit
隨,"follow, listen to, submit; to accompany; subsequently, then; hexagram ䷐"
穿,"penetrate, pierce, drill; wear"
空,"empty, hollow, bare, deserted"
隷,be subservient to; servant
窗,window
際,"border, boundary, juncture"
障,separate; shield; barricade
立,"stand; let stand; establish, set"
隠,"to hide, conceal, cover; to disappear, lurk; an open secret"
竅,"hole, opening, aperture"
竃,furnace; kitchen range
竁,bore
窟,"hole, cave; cellar; underground"
稷,god of cereals; minister of agriculture
雀,sparrow
稱,"call; name, brand; address; say"
種,seed; race; offspring; to plant
雄,male of species; hero; manly
税,taxes
稌,glutinous rice
程,"journey, trip; schedule, agenda"
雅,"elegant, graceful, refined"
稼,sow grain; sheaves of grain
稽,"examine, investigate; delay"
穴,"cave, den, hole; Kangxi radical 116"
穩,"stable, firm, solid, steady"
穢,"dirty, unclean; immoral, obscene"
積,"accumulate, store up, amass"
隼,aquiline (nose); a falcon
穌,"revive, to rise again; collect"
穋,rice
穆,"majestic, solemn, reverent; calm"
竖,"perpendicular, vertical; erect"
竝,"to combine, annex; also, what's more"
箸,chopsticks
陽,"the active, male principle in Chinese philosophy (yang); light; sun"
隂,"shady, secret, dark; mysterious; cold; the negative of female principle in nature"
範,"pattern, model, rule, law"
篁,bamboo grove; bamboo
管,"pipe, tube, duct; woodwind music"
階,"stairs, steps; rank, degree"
筵,feast
篋,"rattan box, suitcase, or case"
陵,"hill, mound; mausoleum"
除,"eliminate, remove, except"
粟,unhusked millet; grain
粛,pay respects; reverently
粘,"viscous, mucous; glutinous"
陳,"exhibit, display; plead; surname"
簿,"register, account book, notebook"
簸,winnower
篡,usurp
筦,a key; to be in charge; a pipe
笔,writing brush; write; stroke
隘,"narrow, confined; a strategic pass"
笏,tablet held by someone having authority
笄,a hairpin; fifteen-year-old girl
竺,India; bamboo; surname
竹,bamboo; flute; Kangxi radical 118
端,"end, extreme; head; beginning"
童,"child, boy, servant boy; virgin"
竢,"wait for, wait until, as soon as"
章,"composition; chapter, section"
笙,small gourd-shaped musical instrument
笠,bamboo hat; bamboo covering
策,"scheme, plan; to whip; urge"
筆,writing brush; write; stroke
笴,an arrow shaft
笨,"foolish, stupid, dull; awkward"
符,"i.d. tag, tally, symbol, charm"
笥,"a hamper, wicker basket"
稅,"taxes, revenue, duty; tax"
祚,"throne; bless; blessing, happiness"
靡,"divide, disperse, scatter"
面,"face; surface; plane; side, dimension; Kangxi radical 176"
靨,dimples
革,"leather, animal hides; Kangxi radical 177; hexagram ䷰"
鞍,saddle; any saddle-shaped object
鞏,"bind; firm, secure, strong"
祛,"expel, disperse, exorcise"
霣,fall
露,"dew; bare, open, exposed"
祸,"misfortune, calamity, disaster"
祭,"sacrifice to, worship"
靉,"cloudy sky; dark, obscure"
靑,"blue, green; young; Kangxi radical 174"
鞫,"interrogate, question"
項,"neck, nape of neck; sum; funds"
祓,"exorcise, remove evil; clean"
韓,fence; surname; Korea
韵,rhyme; vowel
祈,"pray; entreat, beseech"
祇,"the spirit of the earth; (same as 只) only, merely, but"
祆,"Ormazda, god of the Zoroastrians; extended to god of the Manicheans"
響,"make sound, make noise; sound"
頃,a moment; a measure of area equal to 100 mu or 6.7 hectares; to lean
秌,"(same as 秋) autumn, fall; year"
称,"call; name, brand; address; say"
秪,"only, merely"
秩,order; orderly; salary; decade
秋,"autumn, fall; year"
霜,frost; crystallized; candied
秃,bald
秀,"ear of grain; flowering, luxuriant; refined, elegant, graceful"
雨,rain; rainy; Kangxi radical 173
雖,"although, even if"
離,"leave, depart; go away; separate; trigram ☲; hexagram ䷝"
霍,"quickly, suddenly; surname"
霏,falling of snow and rain
禊,semi-annual ceremony of purification
禄,"blessing, happiness, prosperity"
禁,"restrict, prohibit, forbid"
禛,to receive blessings in a sincere spirit
震,"shake, quake, tremor; excite; trigram ☳; hexagram ䷲"
霄,"sky; clouds, mist; night"
禽,"birds, fowl; surname; capture"
雷,thunder
電,"electricity, electric; lightning"
牴,"gore, butt; resist"
牧,"tend cattle, shepherd"
𠀍,(same as 世) generation; world; era
犁,plow
犖,brindled ox; brindled in color
狼,wolf
狄,tribe from northern China; surname
狁,a tribe of Scythian nomads
状,form; appearance; shape; official
犮,to pull up
鿌,"cool, cold; disheartened"
犬,dog; radical number 94
爽,"happy, cheerful; refreshing"
爻,diagrams for divination
牂,"female sheep, ewe"
牆,wall
牟,"make; seek, get; barley; low"
牝,female of species; deep gorge
牙,"tooth, molars, teeth; serrated"
牌,"signboard, placard"
片,"slice, splinter, strip; rad. 91"
猖,"mad, wild, reckless, unruly"
猛,"violent, savage, cruel; bold"
珀,amber
玲,tinkling of jade
玖,black-colored jade
黙,"silent; quiet, still; dark"
黿,"large turtle, sea turtle"
猝,"abruptly, suddenly; abrupt"
鼂,a kind of sea turtle; surname
玉,"jade, precious stone, gem"
鼐,incense tripod
鼓,"drum; beat, top, strike; Kangxi radical 207"
珉,stone resembling jade
珍,"precious, valuable, rare"
現,"appear, manifest, become visible"
黏,"stick to; glutinous, sticky; glue"
班,"class, group, grade; squad; job"
珠,"precious stone, gem, jewel, pearl"
珞,kind of necklace
珎,"precious, valuable, rare"
獣,"beast, animal; bestial"
獐,"roebuck, hornless river deer"
獎,"prize, reward; give award to"
齎,take in both hands and offer to
齐,"even, uniform, of equal length"
齒,"teeth; gears, cogs; age; Kangxi radical 211"
齟,irregular teeth; discord
獄,"prison, jail; case; lawsuit"
猿,ape
猺,jackal; name of a tribe
猶,"like, similar to, just like, as"
猴,"monkey, ape; monkey-like"
猡,pig; Lolo aboriginal tribe
猟,hunt; field sports
獗,"unruly, wild, violent, lawless"
齊,"even, uniform, of equal length; Kangxi radical 210"
獨,"alone, single, solitary, only"
玆,"now, here; this; time, year"
玁,a dog with a long snout or muzzle
獻,"offer, present; show, display"
鼻,nose; first; Kangxi radical 209
獫,dog
爹,"father, daddy"
焭,"orphan; alone, desolate"
焰,"flame, blaze; glowing, blazing"
煗,warm
煕,"bright, splendid, glorious"
煒,brilliant red; glowing
焼,burn; bake; heat; roast
烽,signal fire; signal tower
烺,(said of fire) bright
炷,"candle wick, lamp wick; stick of incense"
炳,"bright, luminous; glorious"
炮,"large gun, cannon; artillery"
烱,"bright, brilliant, clear; hot"
烝,"rise, steam; many, numerous"
烙,"brand, burn; branding iron"
烘,"bake, roast; dry by fire"
烕,to destroy; to exterminate to extinguish
烊,to smelt; to melt
煞,"malignant deity; baleful, noxious; strike dead"
爲,"do, handle, govern, act; be"
爬,"crawl, creep; climb; scramble"
爚,bright; fiery
爐,"fireplace, stove, oven, furnace"
爊,"to stew, cook"
爆,"crackle, pop, burst, explode"
燻,"smoke, fog, vapor; smoke, cure"
燎,"to burn, set afire; to illuminate; a signal lamp"
燉,heat with fire; stew
燈,"lantern, lamp"
燁,"bright, glorious, splendid, flame"
熳,confused
熱,hot; heat; fever; restless; zeal
熟,well-cooked; ripe; familiar with
煬,roast; scorch; melt; flame
煩,"bother, vex, trouble; troublesome"
煢,alone; no friends or relatives
燕,"swallow (bird); comfort, enjoy"
𠫭,to join
燬,"burn down; blaze, fire"
燧,"flintstone; beacon, signal fire; torch"
燥,"dry, parched, arid; quick-tempered"
髻,"hair rolled up in a bun, topknot"
鬆,"lax, loose; loosen, relax"
疽,"ulcer, carbuncle, abscess"
鬚,"beard, whiskers; whisker-like"
鬯,sacrificial wine; unhindered; Kangxi radical 192
疫,"epidemic, plague, pestilence"
鬲,type of caldron with three hollow legs; name of a state; Kangxi radical 193
疑,"doubt, question, suspect"
痂,scab
髮,hair
瘖,"dumb, mute, unable speak"
瘁,"feel tired, be weary, be worn out"
痴,"foolish, stupid, dumb, silly"
痘,smallpox
痕,scar; mark; trace
痔,"hemorrhoids, piles"
高,"high, tall; lofty, elevated; Kangxi radical 189"
魍,"demons, mountain spirits"
魄,vigor; body; dark part of moon
畧,"approximately, roughly; outline"
疊,"repeat, duplicate; repetitious"
疆,"boundary, border, frontier"
畹,"a unit of area, thirty mou"
畸,"odd, fractional, remainder, odds"
當,"bear, accept, undertake; just"
畱,to detain; to entertain to keep; to put by
魁,chief; leader; best; monstrous
瘤,"tumor, lump, goiter"
瘥,to recover from any disease; an epidemic
𡱆,to belong to; allied
皈,"follow, comply with"
盂,basin; cup
皥,"bright, brilliant"
皓,"bright, luminous; clear; hoary"
皐,the high land along a river
皎,"white; bright, brilliant; clear"
騾,mule
驚,"frighten, surprise, startle"
登,"rise, mount, board, climb"
癸,10th heavenly stem
療,"be healed, cured, recover"
瘴,malaria pestilential vapors
瘦,"thin, emaciated, lean; meager"
馵,horse with white back legs
駈,"spur a horse on; expel, drive away"
駕,"to drive, sail, fly; a cart, carriage"
駭,"terrify, frighten, scare; shock"
騐,"to verity, to fulfil; to examine, to hold an inquest"
畜,"livestock, domestic animals"
瓜,"melon, gourd, cucumber; Kangxi radical 97"
瓠,bottle gourd; calabash; pot
鷕,call
麁,"rough, thick, course; rude"
麗,"beautiful, magnificent, elegant"
環,jade ring or bracelet; ring
瓮,earthen jar; jar for ashes
甕,earthen jar; jar for ashes
甑,"boiler for steaming rice, pot"
瓶,"jug, pitcher, vase, jar, bottle"
鷗,"seagull, tern; Larus species (various)"
璃,glass
璁,turquoise
琴,Chinese lute or guitar
琇,coarse variety of jasper or jade
黍,glutinous millet; Kangxi radical 202
黎,"surname; numerous, many; black"
琵,guitar-like instrument
瑯,kind of white cornelian
麻,"hemp, jute, flax; sesame; Kangxi radical 200"
瑕,"flaw in gem; fault, defect"
鷂,sparrow hawk; Circus species (various)
留,"stop, halt; stay, detain, keep"
田,"field, arable land, cultivated"
甪,"to loose, take off, get rid of"
魚,fish; surname; Kangxi radical 195
甲,"armor, shell; fingernails; 1st heavenly stem"
畊,"plow, cultivate"
畆,Chinese land measure; fields
甿,farming population
魘,"nightmare, bad dreams"
电,electricity; electric; lightning
鳧,"wild duck, teal; swim"
鶋,a sea-bird with a white breast
鳬,"wild duck, teal; swim"
鳯,male phoenix; symbol of joy
鳳,male phoenix; symbol of joy
甥,"niece, sister's child"
鳶,kite; Milvus species (various)
鴉,"crow, raven; Corvus species (various)"
鴝,mynah; Erithacus species (various)
綏,"soothe, appease, pacify; carriage harness"
衛,"guard, protect, defend"
衝,"rush against, charge ahead"
袂,sleeves
衾,"coverlet, quilt"
衰,"decline, falter, decrease; weaken"
衬,underwear; inner garments
衫,shirt; robe; gown; jacket
表,"show, express, manifest, display"
蠲,"millipede; glow-worm; bright, clear"
遠,"distant, remote, far; profound"
衅,consecrate sacrificial vessels by smearing blood; rift
血,blood; Kangxi radical 143
遟,"late, tardy; slow; delay"
衙,public office; official residence
達,"arrive at, reach; intelligent"
衖,lane; alley
遜,"humble, modest; yield"
遝,"mixed, abundant, assorted"
衒,"brag; show off, promote oneself"
袒,strip; lay bare; bared; naked
襟,"lapel, collar"
遐,"afar, distant; old, advanced in"
