verse_no	luc_bat	qn_verse	nom_text
75	8	“Đã không duyên trước chăng LÀ ,	㐌空縁畧庄時
76	8	“Thì chi chút ĐÍCH gọi là duyên sau.	時之𡭧約噲󰑼縁娄
77	6	“Sắm xanh nếp CHỈ xe châu,	懺笙摄紙車珠
78	8	"""Vùi nông một nấm mặc dầu cỏ hoa."	䏽農𠬠埝默油𦹵花
79	6	"""Trải bao thỏ lặn ác tà,"	󰠵包兎吝鵶斜
80	8	"""Ấy mồ vô chủ ai mà viếng thăm!"""	𧘇墓󰟁主埃麻咏𠽄
81	6	Lòng đâu sẵn MỎN thương tâm,	𢚸󰠲産󰍹傷心
82	8	THOẠT nghe Kiều THOẮT đầm đầm châu sa:	説𦖑翹捝珠沙潭潭
83	6	"""Đau đớn thay phận đàn bà!"	𤴬疸台分弹󰜏
84	8	"""Lời rằng bạc mệnh cũng là lời chung."	𠳒浪泊𠇮拱󰑼𠳒終
85	6	"""Phũ phàng chi bấy hoá công!"	負旁之闭化工
86	8	"""Ngày xanh mòn mỏi má hồng phôi pha."	𣈜撑󰍹痗𦟐紅配坡
87	6	"""Sống làm vợ khắp người ta,"	𤯨爫𡞕泣𠊛些
88	8	“ HẠI thay nằm xuống là ma không chồng!	窖台𦣰𫴋󰑼魔空𫯳
89	6	"""Nào người phượng chạ loan chung,"	芇㝵鳯乍鸾終
90	8	"""Nào người tiếc lục tham hồng là ai?"	芇㝵惜綠貪紅󰑼埃
91	6	"""Đã không kẻ đoái người hoài,"	㐌空几兑㝵𢙇
92	8	“Sẵn đây ta CẮM một vài nén hương.	産低些劎𠬠𠄽𥘀香
93	6	"""Gọi là gặp gỡ giữa đường,"	噲󰑼﨤𫽻𡧲塘
94	8	"""Hoạ là người dưới suối vàng biết cho."""	和󰑼㝵󰡎𤂬鐄别朱
95	6	Lầm rầm khấn vái nhỏ to,	林滛𭝫拜𡮈蘇
96	8	Sụp ngồi và cáo trước mồ bước ra.	立𡎢𬏓诰畧墓𨀈󰑾
97	6	Một VÙNG cỏ áy bóng tà,	𠬠󰟀𦹵爱䏾斜
98	8	Gió hiu hiu thổi một vài NGỌN lau.	𩙌囂囂𠺙𠬠𬏓𦰟𦰤
99	6	Rút trâm sẵn giắt mái đầu,	𢯰簪産㩫𠃅頭
100	8	Vạch da cây vịnh bốn câu ba vần.	拍䏧核咏𦊚句𠀧韻
101	6	Lại càng mê MẢI tâm thần,	吏強迷買心神
102	8	Lại càng đứng lặng tần ngần chẳng ra.	吏強𨅸朗秦艰󰝸𦋦
103	6	Lại càng ủ dột nét hoa,	吏強塢突󰞺花
104	8	Sầu tuôn đứt nối châu sa vắn dài.	愁𣻆𢯟綏珠沙𥐆𨱽
105	6	"Vân rằng: ""Chị cũng nực cười,"	雲浪姉拱󱋨唭
106	8	""" cũng dư nước mắt khóc người đời xưa!"""	拱餘渃眜哭㝵𠁀初
107	6	"Rằng: ""Hồng nhan tự thủa sơ,"	浪紅顔自課初
108	8	"""Cái điều bạc mệnh có chừa ai đâu."	丐調泊𠇮固除埃󰠲
109	6	"""Nỗi niềm tưởng đến mà đau,"	浽念想旦麻𤴬
110	8	“Thấy người nằm ĐẤY biết sau thế nào?”	体㝵𦣰帝别娄󰟨芇
111	6	"Quan rằng: ""Chị nói hay sao?"	覌浪姉呐咍牢
112	8	""" Một điều là một vận vào khó nghe!"	𠬠調󰑼𠬠運𠓨苦𦖑
113	6	"""Ở đây âm khí nặng nề."	扵低陰氣𥘀伲
114	8	"""Bóng chiều đã ngả dặm về còn xa."""	䏾朝㐌我埮𧗱群賒
