verse_no	luc_bat	qn_verse	nom_text
876	8	Rỉ tai nàng mới giải lòng thấp cao:	𠯇𦖻娘買𤋵𢚸𥰊高
877	8	“ VẢ sinh ra phận thơ đào,	且生𫥧分䜹桃
878	8	"""Công cha nghĩa mẹ kiếp nào giả xong!"	功吒󰒂媄劫芇者衝
879	8	“Lỡ làng nước ĐỤC PHA trong ,	吕廊渃濁披冲
880	8	"""Trăm năm để một tấm lòng từ đây."	𤾓𫷜底𠬠𬌓𢚸自低
881	6	"""Xem gương trong bấy nhiêu ngày,"	𫀅𦎛冲闭饒𣈜
882	8	"""Thân con chẳng kẻo mắc tay bợm già ."	身昆庄矫默𢬣姂妑
883	6	"""Khi về bỏ vắng trong nhà,"	欺󰡲補永冲茹
884	8	“Khi vào DÙI dắng khi ra vội vàng.	欺𠓨推孕欺𦋦倍傍
885	6	"""Khi ăn khi nói lỡ làng,"	欺咹欺呐吕郎
886	8	"""Khi thầy khi tớ xem thường xem khinh."	欺柴欺伵𫀅常𫀅輕
887	6	"""Khác màu kẻ quý người thanh,"	恪牟几貴𠊛清
888	8	“ NGẮM ra cho kỹ như hình con buôn.	𥋴𦋦朱技如形昆奔
889	6	"""Thôi con còn nói chi con,"	催昆群呐之昆
890	8	"""Sống nhờ đất khách thác chôn quê người!"""	𤯩𢘾坦客托坉圭㝵
891	6	Vương bà nghe bấy nhiêu lời,	王󰜏𦖑闭饒𠳒
892	8	Tiếng oan đã muốn RẠCH trời kêu lên.	㗂寃㐌悶𫼢𡗶呌𨖲
893	6	Vài CÂU chưa cạn chén khuyên,	𠄽勾渚𣴓𡃹勸
894	8	Mé ngoài nghỉ đã giục liền ruổi xe.	𠃅外𢪀㐌𠽖連󰖁車
895	8	Xót con lòng nặng BÌ BÌ ,	㤕昆𢚸󰠱皮皮
896	8	Trước yên ông LẠI NẰN NÌ thấp cao:	畧鞍𪪳吏奏呢𥰊高
897	8	“ XÓT thân LIỄU YẾU thơ đào,	㤕身柳要䜹桃
898	8	“ TRẤT nhà đến nỗi giấn vào TÔI NGƯƠI.	窒茄旦綏鎮𠓨的碎
899	6	"""Từ đây góc bể bên trời,"	自低𧣳𣷭边𡗶
900	8	"""Nắng mưa thủi thủi quê người một thân."	𬋟湄退退圭𠊛𠬠身
901	6	"""Nghìn tầm nhờ bóng tùng quân,"	𠦳尋如䏾松筠
902	8	"""Tuyết sương che chở cho thân cát đằng."""	雪霜𩂏𨔾朱身葛藤
903	6	Cạn lời khách mới thưa rằng:	𣴓𠳒客買䜹浪
904	8	"""Buộc chân thôi cũng xích thằng nhiệm trao."	𢯜蹎催拱赤绳冉𢭂
905	6	"""Mai sau dầu dến thế nào,"	枚𢖖油旦世芇
906	8	"""Kìa gương nhật nguyệt nọ dao quỉ thần."""	箕𦎛日月怒刀鬼神
907	6	Đùng dùng gió giục mây tần,	同同𫗄𠽖𫡮秦
908	8	một xe trong cõi hồng trần như bay.	𠬠車𥪝𡎝紅塵如𠖤
909	6	Trông vời GẠT LỆ phân tay,	𬂙爲拔淚分𢬣
910	8	Góc trời thăm thẳm ngày ngày đăm đăm.	谷𡗶審審𣈜𣈜󰠐󰠐
911	6	Nàng thì cõi khách xa xăm,	娘時𡎝客車侵
912	8	Bạc phau cầu giá đen DẦM ngàn mây.	泊抛梂這顛滛岸𫡮
913	6	Vi lau sát sát hơi may,	葦𦰤察察唏埋
914	8	Một trời THU để riêng SAY một người.	𠬠𡗶秩底貞差𠬠㝵
915	6	Dặm khuya ngắt tạnh mù KHƠI,	埮𣅘雪淨𩂟𣾺
916	8	Thấy trăng mà thẹn những lời non sông.	体𦝄麻𢢆仍𠳒𡽫滝
917	6	Rừng thu từng biếc ÚA hồng,	楼秋層碧癋紅
918	8	Nghe chim như nhắc tấm lòng thần hôn.	𦖑𫚳如弋𬌓𢚸辰昏
919	6	Những là lạ nước lạ non,	仍󰑼𨔍渃𨔍𡽫
920	8	Lâm- tri vừa một tháng tròn ĐẾN nơi.	臨淄皮𠬠𣎃𧷺旦尼
921	6	Xe châu dừng bánh cửa ngoài,	車珠停軿𫔳外
922	8	Rèm trong đã thấy một người bước ra.	簾冲㐌体𠬠㝵𨀈𦋦
923	6	THOẮT trông LỢT lợt màu DA,	脱𬂙𤁕𤁕牟𦝄
924	8	Ăn gì cao lớn đẫy đà làm sao?	咹之高𢀲𠰺它爫牢
925	6	Trước xe lơi lả han chào,	畧車雪吕嘆嘲
926	8	Vâng lời nàng mới bước vào TẠN nơi.	𠳐𠳒娘買𨀈𠓨羡尼
927	6	Bên thì mấy ả mày ngài,	边時󰋇妸𪵟𧍋
928	8	Bên thì ngồi bốn năm người làng chơi.	边時𡎢𦊚𠄼㝵廊制
929	6	Giữa thì hương NẾN hẳn hoi,	𡧲時香𤓢罕灰
930	8	TREO TRANH QUAN THÁNH trắng đôi lông mày.	撩幀官圣𤽸堆󰋃𪵟
931	6	Lầu xanh quen lối xưa nay,	楼撑捐𫮇初󰅒
932	8	Nghề này thì lấy ông này tiên sư.	芸尼時𥙩𪪳尼先師
933	6	Hương HÔM HOA sớm phụng thờ,	香𣋚花󰉲奉賒
934	8	Cô nào xấu MẼ CHO thưa mối hàng .	姑芇醜𩴬朱䜹䋦行
935	6	Cổi xiêm LỘT áo chán chường,	𪭯襜𢯰襖󱋓𠴔
936	8	Trước thần sẽ nguyện mảnh hương lầm dầm.	畧神仕願𤗖香淋滛
937	6	Đổi hoa LÓT DƯỚI chiếu nằm,	対花𢯰𠁑袑𦣰
938	8	Bướm ong bay lại ầm ầm tứ vi.	𧊉蜂悲吏喑喑罒𡆫
939	6	Kiều còn LIỆU ĐẤT biết gì,	娇群料坦別之
940	8	Cứ lời lạy xuống mụ thì khấn ngay:	拠𠳒𥛉𬺗媒时𭝫𣦍
941	6	"""Cửa hàng buôn bán cho may,"	𫔳行奔半朱枚
942	8	"""Đêm đêm Hàn thực ngày ngày Nguyên tiêu."	店店寒食𣈜𣈜元宵
943	6	"""Muôn nghìn người thấy cũng yêu,"	𬮙𠦳㝵体拱腰
944	8	“Xôn xao anh yến dập dìu trúc MAI .	𠮿嗃鶧燕習耀竹枝
945	6	"""Tin nhạn vẩn lá thơ bời,"	信鴈刎𦲿䜹排
946	8	"""Đưa người cửa trước rước người cửa sau."""	迻㝵󰘂畧逴㝵󰘂娄
947	6	Lạ tai nghe chửa biết đâu,	𨔍𦖻𦖑渚別󰠳
948	8	Xem tình ra cũng những màu dở dang.	𫀅情𦋦拱仍牟󰇾揚
949	6	Lễ xong hương hoả gia đường,	礼衝香火家堂
950	8	Tú bà vắt nóc lên giường ngồi ngay.	秀󰜏勿𧂭蓮床𡎢𣦍
951	8	Dạy rằng: “Con lạy mẹ ĐÂY ,	𠰺浪昆𥛉媄低
952	8	"""Lạy rồi thì lạy cậu mày bên kia"""	𥛉耒時𥛉舅眉边箕
953	6	"Nàng rằng: ""Phải bước lưu ly,"	娘浪沛𨀈流󰡞
954	8	"""Phận hèn vâng đã cam bề tiểu tinh."	分𪬡𠳐㐌甘皮小星
955	6	"""Điều đâu lấy yến làm anh,"	調󰠳𥙩燕爫鶧
956	8	“Ngây thơ chẳng biết VỚI danh phận gì.	𬏝䜹庄別買名分之
957	6	"""Đủ điều nạp thái vu qui,"	覩調納采于歸
958	8	“Đã khi CHUNG CHẠ lại khi đứng ngồi.	㐌欺鍾乍吏欺𨅸𡎢
959	6	"""Giờ ra thay bậc đổi ngôi,"	徐𦋦台堛対嵬
960	8	“Dám xin GỬI lại một lời cho minh.”	敢嗔-吏𠬠𠳒朱明
961	6	Mụ nghe nàng nói hay tình,	媒𦖑娘呐咍情
962	8	Bấy giờ mới nổi tam bành mụ lên:	閉徐買浽三彭媒蓮
963	6	"""Này này sự đã quả nhiên,"	尼尼事㐌果然
964	8	“Thôi đà cướp CỦA chồng min đi rồi!	催它刼𧵑𫯳綿𠫾耒
965	6	“Bảo THÌ đi dạo lấy người,	保時𠫾造𥙩㝵
966	8	"""Đem về rước khách kiếm lời mà ăn."	󰝡𧗱逴客劍利麻咹
967	6	“Tuồng vô nghĩa ở VÔ nhân,	從󰟁󰒂扵󰟁仁
968	8	"""Buồn mình trước đã tần mần thử chơi."	忿𠇮畧㐌秦緡此󱉁
969	6	"""Màu hồ đã mất đi rồi,"	牟糊㐌秩𠫾耒
970	8	"""Thôi thôi vốn liếng đi đời nhà ma!"	催催本另𠫾𠁀茹麻
971	6	"""Con kia đã bán cho ta,"	昆箕㐌半朱些
972	8	"""Nhập gia phải cứ phép nhà tao đây."	入家沛㨿法茹蚤低
973	8	“ LÃO kia có giở bài bây,	尼箕󰡏󰇾排碑
974	8	“Chẳng PHANG vào mặt mà mày ĐÀNH nghe.	庄坊𠓨󰘚麻眉仃𦖑
975	6	"""Cớ sao chịu tốt một bề,"	㨿牢𠹾卒𠬠皮
976	8	"""Gái tơ mà đã ngứa nghề sớm sao!"	𡛔絲麻㐌我芸󰉺牢
977	6	"""Phải làm cho biết phép tao!"""	沛爫朱別法蚤
978	8	Giật bì tiên rắp sấn vào ra tay.	𪮞皮鞭立𪮭𠓨𦋦𢬣
979	6	"Nàng rằng: ""Trời thẳm đất dày!"	娘浪𡗶審坦𠫅
980	8	"""Thân này đã bỏ những ngày ra đi!"	身尼㐌補仍𣈜𦋦𠫾
981	6	"""Thôi thì thôi có tiếc gì!"""	傕时傕固惜之
982	8	Sẵn dao tay áo tức thì giở ra.	産刀𢬣襖即時󰇥𦋦
983	6	Sợ gan nát ngọc liều hoa,	𢜝肝󰞺玉料花
984	8	Mụ còn trông mặt nàng đà quá tay.	媒群𬂙󰘚娘它過𢬣
985	6	Thương ôi tài sắc MỰC này,	傷喂才色墨尼
986	8	Một dao oan nghiệt dứt dây phong trần.	𠬠刀寃孽𢴑𦀊󰘩塵
987	6	Nỗi oan vỡ lở xa gần,	浽寃破𡋿賒𧵆
988	8	Trong nhà người chật một lần như nen.	冲茹㝵秩𠬠吝如𣑻
989	6	Nàng thì bặt bặt giấc tiên,	娘時弼弼聀仙
990	8	Mụ thì NGÁY NGÁY mắt nhìn hồn bay.	媒時𠬠𠬠󰘚𥚆魂𠖤
991	8	Vực nàng vào chốn HIÊN TÂY ,	域娘𠓨准軒西
992	8	Cắt người XEM sóc CHẠY thầy thuốc MEN.	割𠊛𫀅朔𧼋柴𬟥湯
993	6	Nào hay chưa hết trần duyên,	芇台渚歇塵緣
994	8	Trong mê dường đã đứng bên một nàng.	𥪝迷羕㐌等边𠬠娘
995	6	"Rỉ rằng: ""Nhân quả dở dang,"	𠯇浪因果󰇥揚
996	8	"""Đã toan trốn nợ đoạn trường được sao?"	㐌󰝺遁女断膓特牢
997	6	"""Số còn nặng nghiệp má đào,"	数群󰠱業𦟐桃
998	8	“Người dầu MUỐN quyết trời nào đã cho!	𠊛油悶決𡗶芇㐌朱
999	6	"""Hãy xin hết kiếp liễu bồ,"	唉嗔歇刼柳蒲
1000	8	"""Sông Tiền- Đường sẽ hẹn hò về sau""."	滝錢塘仕限㗅𧗱𨍦
1001	6	Thuốc thang suốt một ngày thâu,	𬟥湯卒𠬠𣈜輸
1002	8	Giấc mơ nghe đã dầu dầu vừa tan.	聀迷𦖑㐌油油皮散
1003	6	Tú bà chực sẵn bên màn,	秀󰜏直産边幔
1004	8	GIEO lời ỎN THÓT mơn man gỡ dần:	招𠳒𪢖𡁾綿蛮𫽻寅
1005	6	"""Một người dễ có mấy thân."	𠬠𠊛易固󰋇身
1006	8	Hoa xuân đương nhị ngày xuân còn dài.	花春登蘂𣈜春群𨱽
1007	6	Cũng là lỡ một lầm hai,	拱󰑼吕𠬠啉𠄩
1008	8	Đá vàng sao nỡ ép nài mưa mây!	𥒥鐄牢女押奈湄𫡮
1009	6	Lỡ chân trót đã vào đây,	吕蹎卒㐌𠓨低
1010	8	Khoá buồng xuân để đợi ngày đào non.	鎖󰟀春底行𣈜桃𡽫
1011	6	Người còn thì của hãy còn,	㝵群時𧵑唉群
1012	8	Tìm nơi xứng ĐỂ LÀ con cái nhà.	尋尼稱底󰑼昆丐茹
1013	6	Làm chi tội báo oan gia,	爫之罪报寃家
1014	8	"Thiệt mình mà hại đến ta hay gì?"""	舌𠇮麻害旦些咍之
1015	6	Kề tai mấy nỗi nằn nì,	拱𦖻󰋇浽𡅧呢
1016	8	Nàng nghe dường cũng thị phi rạch ròi.	娘𦖑󰟯拱是非𫼢𣑳
1017	6	Vả SUY thần mộng mấy lời,	𡲤推神夢󰋇𠳒
1018	8	Túc nhân THÌ cũng có trời ở trong.	夙姻時拱固𡗶於冲
1019	6	Kiếp này nợ giả chưa xong,	刼尼女者渚衝
1020	8	Làm chi THÌ CŨNG MỘT CHỒNG kiếp sau!	爫之時拱𠬠𫯳刼𨍦
1021	8	Lặng nghe TÂM NGẨM CÚI đầu ,	朗𦖑侵噤󱖺頭
1022	8	"Thưa rằng: ""Ai có muốn đâu thế này."	䜹浪埃固悶󰠲󰡫尼
1023	8	“ ĐƯỢC NHƯ lời thế là may,	時如𠳒世󰑼埋
1024	8	"""Hẳn rằng mai có như rày cho chăng!"	罕浪枚固如𣈙朱庄
1025	8	“ LỆ khi ong bướm đãi đằng,	戾欺蜂𧊉代騰
1026	8	"""Đến điều sống đục, sao bằng thác trong!"""	旦調𤯩濁牢平托冲
1027	6	"Mụ rằng: ""Con hãy thong dong,"	媒浪昆唉從容
1028	8	"""Phải điều lòng lại dối lòng mà chơi!"	沛調𢚸吏対𢚸麻󱉁
1029	6	"""Mai sau ở chẳng như lời,"	枚𨍦扵庄如𠳒
1030	8	"""Trên đầu có bóng mặt trời rạng soi."""	蓮頭固䏾󰘚𡗶𤎜𤐝
1031	6	Thấy lời quyết đoán hẳn hoi,	体𠳒决断罕灰
1032	8	Đành lòng nàng cũng sẽ nguôi nguôi dần.	停𢚸娘共仕𠿯𠿯寅
1033	6	Trước SAU Ngưng BIẾC khoá xuân,	󰁡𢖖󰁇碧鎖春
1034	8	VỆT non xa tấm trăng gần ở CHUNG.	𢵼𡽫賒󰌺𦝄𧵆扵終
1035	6	TƯ bề bát ngát xa trông,	𦊛皮八夊賒𬂙
1036	8	Cát vàng cồn nọ bụi hồng dặm kia.	吉鐄𡑱怒𡏧紅埮箕
1037	6	Bẽ bàng mây sớm đèn khuya.	彼嗙𫡮𣌋畑𣅘
1038	8	Nửa tình nửa cảnh như chia tấm lòng.	姅情姅景如支𬌓𢚸
1039	6	Tưởng người dưới nguyệt chén đồng,	想㝵󰡎月󱋓同
1040	8	Tin sương luống HÃY rày trông mai chờ.	信霜隴唉𣈙𬂙埋徐
1041	6	Bên trời góc bể bơ vơ,	边𡗶谷𣷭󰅲爲
1042	8	Tấm son gột rửa bao giờ cho phai.	󰌺𣘈滑𣳮包徐朱派
1043	6	Xót người tựa cửa hôm mai,	㤕㝵揨𫔳𣋚埋
1044	8	Quạt nồng ĐẮP lạnh những ai đó giờ?	撅燶答冷仍埃妬徐
1045	6	SÂN Lai cách mấy nắng mưa,	蓬萊隔󰋇𬋟湄
1046	8	Có khi gốc tử đã vừa người ôm.	󰡏欺㭲梓㐌皮㝵揞
1047	6	Buồn trông cửa bể GẦN hôm,	盆𬂙㪯𣷭𧵆𣋚
1048	8	Thuyền ai THOÁNG CÁNH GIÓ buồm xa xa.	船埃倘𦑃𬲇帆賒賒
1049	6	Buồn trông ngọn nước mới sa,	𢞂𬂙𦰟渃買沙
1050	8	Hoa trôi man mác biết là về đâu?	花㵢蛮莫別󰑼𧗱󰠳
1051	6	Buồn trông nội cỏ rầu rầu,	𢞂𬂙内𦹵油油
1052	8	Chân mây mặt đất một màu xanh xanh.	蹎𫡮󰘚坦𠬠牟撑撑
1053	6	Buồn trông gió cuốn mặt duềnh,	𢞂𬂙𩙌捲󰘚溋
1054	8	OM THÒM tiếng sóng kêu quanh ghế ngồi.	喑󰠐㗂㳥呌觥槣𡎢
1055	6	CHUNG quanh những nước non người,	冬觥仍渃𡽫㝵
1056	8	Đau lòng lưu lạc nên vài bốn câu.	𤴬𢚸流落𢧚𠄽𦊚勾
1057	6	Ngậm ngùi rủ bức rèm châu,	噤𠿯𢷀幅簾珠
1058	8	Cách lầu nghe có tiếng đâu hoạ vần.	隔楼𦖑固㗂󰠲和韻
1059	6	Một chàng vừa trạc thanh xuân,	𠬠払皮擢青春
1060	8	Hình dung chải chuốt áo khăn dịu dàng.	形容沚淬袄巾妙揚
1061	6	Nghĩ rằng cũng mạch thư hương,	𢪀浪拱脉書香
1062	8	Hỏi ra mới biết rằng chàng Sở khanh.	𠳨𦋦買別浪払楚卿
1063	6	Bóng nga thấp thoáng dưới mành.	䏾娥湿倘𠁑萌
1064	8	Trông NÀNG CHÀNG cũng ra tình đeo đai:	𬂙払娘拱𦋦情刀帶
1065	8	“ ÔI THAN sắc nước hương trời,	喂嘆色渃香𡗶
1066	8	"""Tiếc cho đâu bỗng lạc loài đến đây?"	惜朱󰠲俸落類旦低
1067	6	"""quế trong trăng hạnh trên mây,"	桂𥪝𦝄杏𨕭𫡮
1068	8	"""cát hồng nỡ để cho đầy đoạ hoa!"	葛洪女底朱苔墮花
1069	6	Hựu nhất thể vân:	又一体云
1070	6	"""Giá đành trong nguyệt trên mây,"	價停𥪝月𨕭𫡮
1071	8	Hoa sao hoa khéo giã giày bấy hoa?	花牢花窖也苔闭花
1072	6	NỔI gan riêng giận trời GIÀ,	汝肝貞陣𡗶𫅷
1073	8	"""Lòng này ai tỏ cho ta hỡi lòng?"	𢚸尼埃𤏣朱埃唉𢚸
1074	6	"""Thuyền quyên ví biết anh hùng,"	婵娟󰂇別𮎦䧺
1075	8	"""Ra tay tháo cũi sổ lồng như chơi!"""	𦋦𢬣操櫃𢼂篭如󱉁
1076	6	Tiếc điều lầm chẳng biết ta	惜調啉庄別些
1077	8	VỂ châu vớt ngọc dễ đà như chơi	𧗱珠𢵼玉易它如󱉁
1078	6	Song thu đã khép cánh ngoài,	窻秋㐌怯𦑃外
1079	8	Tai còn đồng vọng mấy lời sắt đanh.	𦖻群同望󰋇𠳒𨫊釘
1080	6	Nghĩ người thôi lại nghĩ mình,	𢪀㝵催吏𢪀𠇮
1081	8	Cám lòng chua xót lạt tình BƠ vơ.	感𢚸洙㤕𤁕情如爲
1082	6	Những là lần lữa nắng mưa,	仍󰑼吝吕𬋟湄
1083	8	Kiếp phong trần biết bao giờ là thôi?	刼󰘩塵別包𣇞󰑼催
1084	6	Đánh liều nhắn một hai lời,	打料𠴍𠬠𠄩𠳒
1085	8	Nhờ tay tế độ vớt người trầm luân.	洳𢬣济度𣾼㝵沉淪
1086	6	Mảnh tiên kể hết xa gần,	𰮳箋計歇賒𧵆
1087	8	Nỗi nhà báo đáp nỗi thân lạc loài.	浽茹报答浽身落𩑛
1088	6	HÔM DAO vừa rạng ngày mai,	歆刀皮𤎜𣈜梅
1089	8	Tiện hồng nàng mới nhắn lời gửi sang.	便鴻娘買𠴍𠳒𠳚郎
1090	6	Trời tây lãng đãng bóng vàng,	𡗶西朗蕩䏾鐄
1091	8	Phục thư đã thấy tin chàng đến nơi.	復書㐌体信払旦尼
1092	6	Mở xem một bức tiên mai,	𨷑𫀅蔑幅箋枚
1093	8	Rành rành tích việt có hai chữ đề.	伶伶昔越󰡏𠄩𡦂題
1094	6	Lấy trong ý tứ mà suy:	𥙩𥪝意思麻推
1095	8	Ngày hai mươi mốt tuất thì phải chăng?	𣈜𠄩𨑮𠬠戌時沛庄
1096	6	Chim hôm thoi thót về rừng,	𪀄歆催脱󰡲棱
1097	8	GIÁ [trà/đồ] mi đã ngậm TRĂNG nửa MÀNH.	架茶縻㐌唅𦝄姅萌
1098	6	Tường đông lay động bóng cành,	墻東𢯦動䏾梗
1099	8	Đẩy song đã thấy Sở khanh lẻn vào.	𢩽窻吔体楚卿蹥𠓨
1100	6	Sượng sùng đánh dạn ra chào,	尙崇打惮𦋦嘲
1101	8	ĐOẠN thôi nàng mới rỉ trao ân cần.	段催娘買𠯇𢭂慇懃
1102	8	Rằng: “Tôi bèo NƯỚC XÓT thân ,	浪碎䕯渃㤕身
1103	8	“Lạc ĐƯỜNG mang lấy nợ nần yến OANH.	落塘恾𥙩女𮥷燕莺
1104	6	"""Dám nhờ cốt nhục tử sinh,"	敢洳骨肉死生
1105	8	"""Còn nhiều kết cỏ ngậm vành về sau."""	群𡗉結𦹵唅鋉󰡲𨍦
1106	6	Lặng NGỒI THẤM THÍA gật đầu:	朗𡎢𠸬僣𡴯頭
1107	8	“Ta đây PHẢI MƯỢN ai đâu mà rằng!	些低沛慢埃󰠲麻浪
1108	6	"""Nàng đà biết đến ta chăng,"	娘它別旦些庄
1109	8	"""Bể trầm luân lấp cho bằng mới thôi!"""	𣷭沉淪垃朱平買催
1110	6	"Nàng rằng: ""Muôn sự ơn người,"	娘浪𬮙事恩㝵
1111	8	"""Thế nào xin quyết một bài cho xong?"""	󰟨芇嗔决𠬠排朱衝
1112	6	"Rằng: ""Ta có ngựa truy phong,"	浪些󰡏馭追󰘩
1113	8	"""Có tên dưới trướng vốn dòng kiện nhi."	󰡏𠸜𠁑帳本𣳔健兒
1114	6	“Thừa cơ LÉN KHẼ ra đi,	乘机𨇍𨀈𦋦𠫾
1115	8	“Ba mươi sáu chước chước gì LẠI hơn?	𠀧𨑮𦒹斫斫芇吏欣
1116	6	"""Dù khi gió kép mưa đơn,"	油欺𫗄夾湄单
1117	8	"""Có ta đây cũng chẳng cơn cớ gì!"""	固些低拱庄干㨿之
1118	6	Nghe lời nàng đã sinh nghi,	𦖑𠳒娘㐌生𪟽
1119	8	Song đà quá ĐẾN quản gì được thân.	双它過旦管之特身
1120	6	Cũng liều nhắm mắt giao chân,	拱料䏕眜跤蹎
1121	8	Mà xem con tạo xoay vần đến đâu.	麻𫀅昆造𡏦運旦󰠳
1122	6	Cùng nhau lẻn bước DƯỚI lầu,	拱饒𨇍𨀈𠁑楼
1123	8	Song song ngựa trước ngựa sau một đoàn.	双双馭畧馭娄𠬠团
1124	6	Đêm thu khắc VỢỈ canh tàn,	店秋刻潙更殘
1125	8	Gió cây trút lá trăng ngàn ngậm gương.	𫗄𣘃律𦲿𦝄𡶨唅𦎛
1126	6	Lối mòn cỏ lợt MÙI sương,	𫮇󰍹𦹵辣味霜
1127	8	Lòng quê đi một bước đường một đau.	𢚸闺𠫾𠬠𨀈塘𠬠𤴬
1128	6	Tiếng gà xao XÁC gáy mau,	㗂𬷤嗃𠳗嘅㕰
1129	8	Tiếng người đâu đã mé sau dậy dàng.	㗂㝵󰠳㐌𠃅𨍦𠰺揚
1130	6	Nàng càng thổn thức gan vàng,	娘強村式肝鐄
1131	8	Sở KHANH đã RẼ dây cương lối nào!	楚卿㐌雉𦀊綱𫮇芇
1132	6	Một mình khôn biết làm sao,	𠬠𠇮坤別爫牢
1133	8	Dặm rừng bước thấp bước cao hãi hùng.	埮棱𨀈𥰊𨀈高駭䧺
1134	6	Hoá nhi thật có nỡ lòng,	化兒实󰡏女𢚸
1135	8	Làm chi giày tía vò hồng lắm nao!	爫之𠫅紫紆紅𡗋㝹
1136	6	Một đoàn đổ đến trước sau,	𠬠团覩旦𫏾𨍦
1137	8	Vuốt đâu DƯỚI đất cánh đâu TRÊN trời?	𤢇󰠳󰡎坦𦑃󰠳𨕭𡗶
1138	6	Tú bà tốc thẳng đến nơi,	秀󰜏速𬆅旦尼
1139	8	HĂM HĂM áp điệu một hơi lại nhà.	音音押調𠬠唏吏茹
1140	6	HUNG HĂNG chẳng hỏi chẳng tra,	󰜌行庄𠳨庄查
1141	8	Đang tay vùi liễu giập hoa tơi bời.	登𢬣𡏧柳拉花哉排
1142	6	Thịt da ai cũng là người,	𬚸䏧埃拱󰑼㝵
1143	8	Lòng nào hồng rụng thắm rời chẳng đau.	𢚸芇紅𣳔𧺁淶庄𤴬
1144	6	Hết lời thú phục khẩn cầu,	歇𠳒首腹懇求
1145	8	Uốn lưng THỊT đổ CẤT đầu máu sa.	捥𦝄𡶀覩梏頭𧖱沙
1146	6	Rằng: “Tôi CHÚT phận đàn bà,	浪碎㤕分婵󰜏
1147	8	“Nước non lìa cửa lìa nhà đến đây.	渃𡽫󰡞𫔳󰡞茹旦低
1148	6	"""Bây giờ sống thác ở tay,"	悲除𤯩托扵𢬣
1149	8	"""Thân này đã đến thế này thì thôi!"	身尼㐌旦世尼時催
1150	6	"""Nhưng tôi có sá chi tôi,"	仍碎󰡏咤之碎
1151	8	“Phận tôi đành vậy vốn người ĐỂ đâu?	分碎停丕本㝵低󰠳
1152	6	"""Thân lươn bao quản lấm đầu,"	身𧐖包管壈頭
1153	8	“Chút lòng trinh bạch từ sau CŨNG chừa”	𡮍𢚸貞白自𨍦拱徐
1154	6	Được lời mụ mới tuỳ cơ,	特𠳒媒買隨机
1155	8	Bắt người bảo lĩnh BẮT tờ cung chiêu.	扒𠊛保領扒祠供招
1156	6	Bày vai CÓ ả Mã Kiều,	排𦠘󰡏妸馬娇
1157	8	Xót nàng ra mới đánh liều chịu đoan.	悴娘𦋦買打料𠹾端
1158	6	Mụ càng kể nhặt kể khoan,	媒強計日計寬
1159	8	ĐÓN RÀO đến mực nồng nàn mới tha.	頓摷旦墨燶𮥷買他
1160	6	Vực nàng vào nghỉ trong nhà,	域娘𠓨𢪀冲茹
1161	8	Mã Kiều lại HỞ ý ra dặn lời:	馬嬌吏𠼯意𦋦𠸕𠳒
1162	6	"""Thôi đà mắc lận thì thôi!"	催它默吝時催
1163	8	"""Đi đâu chẳng biết con người Sở Khanh?"	𠫾󰠳𫽄別昆㝵楚卿
1164	6	"""Bạc tình nổi tiếng lầu xanh,"	泊情浽㗂楼撑
1165	8	"""Một tay chôn biết mấy cành phù dung."	𠬠𢬣墫別󰋇梗芙蓉
1166	6	"""Đà đao sắp sẵn chước dùng,"	拖刀立産斫用
1167	8	"""Lạ gì một cốt một đồng xưa nay!"	𨔍之𠬠骨𠬠童初󰅒
1168	6	“Có ba TRĂM lạng trao tay,	固𠀧𤾓两𢭂𢬣
1169	8	“Không DƯNG chi có chuyện này trò kia.	空仍之固傳尼路箕
1170	6	"""Rồi ra trở mặt tức thì,"	耒𦋦𠭤󰘚卽時
1171	8	“Bớt lời KÊU chớ RẦY chi mà đời.”	扒𠳒呌渚淶之麻𠁀
1172	6	"Nàng rằng: ""Thề thốt nặng lời,"	娘浪誓説󰠱𠳒
1173	8	“Có đâu mà lại CÓ người hiểm sâu.”	󰡏󰠳麻吏固㝵險溇
1174	6	Còn đương suy trước nghĩ sau,	群登推畧𢪀娄
1175	8	Mặt mo đã thấy ở đâu dẫn vào.	󰘚模㐌体於󰠳引𠓨
1176	6	Sở khanh lên tiếng rêu rao:	楚卿蓮㗂嘹哰
1177	8	“ DỌ nghe rằng có con nào ở đây,	喥𦖑娘󰡏昆芇扵低
1178	6	"""Phao cho quyến gió rủ mây,"	抛朱眷𫗄𫫵𦝄
1179	8	"""Hãy xem có biết mặt này là ai?"""	唉𫀅固別󰘚尼󰑼埃
1180	6	"Nàng rằng: ""Thôi thế thì thôi,"	娘浪催󰡫時催
1181	8	“Rằng không, thì cũng LA TRỜI rằng không.”	浪空時拱𪡔𠳒浪空
1182	6	Sở khanh quát mắng đùng đùng,	楚卿咶噒同同
1183	8	Bước vào vừa rắp thị hùng ra tay.	𨀈𠓨皮立恃䧺𦋦𢬣
1184	6	"Nàng rằng: ""Trời nhẽ có hay!"	娘浪𡗶尔固咍
1185	8	"""Quyến anh rủ yến sự này tại ai?"	眷鶧𫫵燕事尼在埃
1186	6	"""Đem người dẩy xuống giếng thơi,"	󰝡𠊛𢩽𫴋井台
1187	8	"""Nói rồi rồi lại ăn lời được ngay!"	呐耒耒吏咹𠳒特𣦍
1188	6	"""Còn tiên tích việt ở tay,"	群箋昔越扵𢬣
