page,status,reasons,ar,marker_in,pagenum_in,flipped,left,right,W,H
page_0286,PASS,-,0.593,0,0,0,0.0001,0.0,1144,1831
page_0288,PASS,-,0.586,0,0,0,0.0001,0.0,1147,1833
page_0290,PASS,-,0.586,0,0,0,0.0003,0.0,1140,1828
page_0292,PASS,-,0.594,0,0,0,0.0001,0.0001,1133,1824
page_0294,PASS,-,0.602,0,0,0,0.0011,0.0001,1133,1824
page_0296,PASS,-,0.588,0,0,0,0.0001,0.0011,1137,1826
page_0298,PASS,-,0.594,0,0,0,0.0001,0.0,1133,1824
page_0300,PASS,-,0.614,0,0,0,0.0,0.0,1130,1822
page_0302,PASS,-,0.598,0,0,0,0.0005,0.0004,1162,1842
page_0304,PASS,-,0.591,0,0,0,0.0,0.0001,1154,1838
