book,syl,M,L,nA,nB,v,knn,cosA,cosB,cosAB,db0.15_nc,db0.15_noise,db0.15_ari,db0.25_nc,db0.25_noise,db0.25_ari,db0.35_nc,db0.35_noise,db0.35_ari,km_ari,agg_ari,agg_min
stt2,cùng,共,其,200,58,MOT,0.52,0.321,0.312,0.312,0,1.0,0.0,0,1.0,0.0,1,0.97,0.0,0.03,-0.02,3
stt2,cùng,共,穷,200,14,HAI,0.93,0.321,0.314,0.218,0,1.0,0.0,0,1.0,0.0,1,0.96,0.0,0.48,-0.02,3
stt2,cũng,共,拱,21,19,HAI,0.9,0.335,0.375,0.256,0,1.0,0.0,0,1.0,0.0,0,1.0,0.0,0.81,-0.0,2
stt2,cả,奇,哿,53,13,HAI,0.96,0.452,0.408,0.274,0,1.0,0.0,0,1.0,0.0,1,0.73,0.0,0.93,-0.04,2
stt2,giê,支,枝,93,8,HAI,0.75,0.401,0.33,0.259,0,1.0,0.0,0,1.0,0.0,3,0.64,0.0,0.11,-0.02,1
stt2,giờ,除,徐,91,22,MOT,0.53,0.367,0.384,0.363,0,1.0,0.0,0,1.0,0.0,0,1.0,0.0,0.04,-0.03,2
stt2,giữ,佇,抒,12,9,HAI,0.9,0.405,0.351,0.345,0,1.0,0.0,0,1.0,0.0,0,1.0,0.0,0.49,0.15,3
stt2,khăn,中,巾,18,8,MOT,0.57,0.398,0.41,0.397,0,1.0,0.0,0,1.0,0.0,0,1.0,0.0,0.09,-0.04,1
stt2,liền,連,蓮,145,12,MOT,0.5,0.289,0.27,0.274,0,1.0,0.0,0,1.0,0.0,0,1.0,0.0,0.03,-0.01,1
stt2,lắm,廪,凜,30,26,MOT,0.54,0.345,0.289,0.314,0,1.0,0.0,0,1.0,0.0,0,1.0,0.0,0.09,-0.0,2
stt2,lắm,廪,凛,30,8,MOT,0.59,0.345,0.36,0.328,0,1.0,0.0,0,1.0,0.0,0,1.0,0.0,0.22,-0.04,1
stt2,ma,嗎,魔,28,8,HAI,0.94,0.398,0.349,0.207,0,1.0,0.0,0,1.0,0.0,1,0.86,0.0,1.0,0.88,9
stt2,ma,嗎,麻,28,11,HAI,1.0,0.398,0.384,0.181,0,1.0,0.0,0,1.0,0.0,1,0.87,0.0,0.9,1.0,11
stt2,mọi,每,毎,32,8,MOT,0.56,0.303,0.369,0.334,0,1.0,0.0,0,1.0,0.0,0,1.0,0.0,0.15,-0.04,1
stt2,một,没,蔑,46,34,MOT,0.44,0.365,0.296,0.326,0,1.0,0.0,0,1.0,0.0,1,0.88,0.0,0.01,-0.01,1
stt2,ngày,時,𣈜,46,44,mo,0.7,0.358,0.335,0.327,0,1.0,0.0,0,1.0,0.0,1,0.94,0.0,0.14,0.0,1
stt2,nhà,茹,如,30,17,mo,0.62,0.323,0.313,0.302,0,1.0,0.0,0,1.0,0.0,0,1.0,0.0,0.08,0.03,1
stt2,nói,呐,内,27,19,MOT,0.56,0.3,0.338,0.314,0,1.0,0.0,0,1.0,0.0,1,0.87,0.0,0.02,-0.01,1
stt2,phải,沛,伂,68,11,MOT,0.49,0.347,0.314,0.331,0,1.0,0.0,0,1.0,0.0,0,1.0,0.0,0.04,-0.02,1
stt2,sự,事,亊,200,25,MOT,0.56,0.368,0.381,0.331,0,1.0,0.0,0,1.0,0.0,1,0.78,0.0,0.34,-0.01,2
stt2,thánh,垩,堊,200,13,MOT,0.54,0.378,0.346,0.331,0,1.0,0.0,0,1.0,0.0,1,0.53,0.0,0.19,-0.01,1
stt2,thánh,垩,聖,200,16,HAI,0.75,0.378,0.23,0.233,0,1.0,0.0,0,1.0,0.0,1,0.53,0.0,0.25,-0.01,1
stt2,thánh,垩,圣,200,63,HAI,0.8,0.378,0.308,0.278,0,1.0,0.0,0,1.0,0.0,1,0.61,0.0,0.42,0.02,1
stt2,thì,寺,時,200,17,HAI,0.88,0.358,0.284,0.208,0,1.0,0.0,0,1.0,0.0,1,0.67,0.0,0.43,-0.01,1
stt2,thật,實,实,20,13,HAI,0.88,0.407,0.267,0.167,0,1.0,0.0,0,1.0,0.0,0,1.0,0.0,0.66,0.03,1
stt2,thờ,除,蜍,18,10,mo,0.66,0.347,0.336,0.321,0,1.0,0.0,0,1.0,0.0,0,1.0,0.0,0.15,0.06,1
stt2,trên,連,蓮,37,12,mo,0.61,0.302,0.295,0.271,0,1.0,0.0,0,1.0,0.0,0,1.0,0.0,0.16,-0.03,1
stt2,tử,死,子,24,9,HAI,0.9,0.375,0.268,0.139,0,1.0,0.0,0,1.0,0.0,0,1.0,0.0,0.65,0.1,1
stt2,vì,為,爲,99,15,HAI,0.86,0.346,0.394,0.285,0,1.0,0.0,0,1.0,0.0,1,0.84,0.0,0.17,0.08,2
stt2,vì,為,位,99,11,HAI,1.0,0.346,0.343,0.177,0,1.0,0.0,0,1.0,0.0,1,0.84,0.0,0.94,0.26,2
stt2,về,𧗱,衛,43,8,MOT,0.5,0.384,0.263,0.302,0,1.0,0.0,0,1.0,0.0,0,1.0,0.0,0.23,-0.03,1
stt2,xin,嗔,真,40,39,mo,0.63,0.403,0.384,0.385,0,1.0,0.0,0,1.0,0.0,1,0.82,0.0,0.0,-0.0,1
stt2,đoạn,段,断,21,18,HAI,0.94,0.337,0.273,0.136,0,1.0,0.0,0,1.0,0.0,0,1.0,0.0,0.9,0.01,1
stt2,đã,㐌,也,28,12,MOT,0.48,0.392,0.297,0.335,0,1.0,0.0,0,1.0,0.0,0,1.0,0.0,0.24,0.07,1
stt2,được,特,持,200,10,MOT,0.5,0.35,0.331,0.329,0,1.0,0.0,0,1.0,0.0,1,0.78,0.0,0.03,-0.01,1
stt2,được,特,時,200,17,MOT,0.53,0.35,0.354,0.339,0,1.0,0.0,0,1.0,0.0,1,0.78,0.0,-0.0,-0.01,1
stt2,để,底,㡳,16,11,mo,0.66,0.433,0.384,0.392,0,1.0,0.0,0,1.0,0.0,0,1.0,0.0,0.2,-0.02,1
stt2,đức,徳,德,120,31,MOT,0.56,0.35,0.361,0.345,0,1.0,0.0,0,1.0,0.0,3,0.74,0.32,0.16,-0.02,2
stt2,ấy,衣,意,200,14,HAI,0.79,0.321,0.222,0.149,0,1.0,0.0,0,1.0,0.0,0,1.0,0.0,0.51,0.1,2
stt2,ấy,衣,𧘇,200,26,MOT,0.52,0.321,0.274,0.284,0,1.0,0.0,0,1.0,0.0,0,1.0,0.0,0.08,-0.01,1
stt4,a,阿,亜,26,9,HAI,1.0,0.329,0.404,0.137,0,1.0,0.0,0,1.0,0.0,0,1.0,0.0,0.77,0.88,10
stt4,biết,别,別,41,38,mo,0.65,0.402,0.382,0.384,0,1.0,0.0,0,1.0,0.0,1,0.75,0.0,0.07,-0.0,1
stt4,chi,之,支,33,9,HAI,1.0,0.425,0.446,0.216,0,1.0,0.0,0,1.0,0.0,0,1.0,0.0,1.0,1.0,9
stt4,chăng,庄,生,163,99,MOT,0.57,0.346,0.284,0.307,0,1.0,0.0,0,1.0,0.0,1,0.91,0.0,0.05,0.0,1
stt4,con,昆,晜,48,34,MOT,0.6,0.385,0.363,0.37,0,1.0,0.0,0,1.0,0.0,1,0.72,0.0,0.02,0.01,1
stt4,cùng,共,穷,172,14,HAI,0.96,0.329,0.411,0.228,0,1.0,0.0,0,1.0,0.0,1,0.97,0.0,0.51,-0.02,2
stt4,cùng,共,其,172,77,MOT,0.48,0.329,0.306,0.317,0,1.0,0.0,0,1.0,0.0,3,0.88,0.04,0.01,-0.0,1
stt4,cũng,拱,共,22,18,HAI,0.87,0.328,0.33,0.283,0,1.0,0.0,0,1.0,0.0,0,1.0,0.0,0.28,-0.01,4
stt4,gian,間,奸,14,10,HAI,1.0,0.413,0.382,0.169,0,1.0,0.0,0,1.0,0.0,0,1.0,0.0,1.0,1.0,10
stt4,kẻo,喬,矯,16,9,HAI,0.94,0.368,0.393,0.269,0,1.0,0.0,0,1.0,0.0,0,1.0,0.0,0.24,-0.03,1
stt4,liền,連,蓮,138,18,MOT,0.53,0.304,0.271,0.282,0,1.0,0.0,0,1.0,0.0,2,0.91,-0.06,0.01,-0.02,2
stt4,lắm,廪,廩,50,39,MOT,0.57,0.357,0.365,0.356,0,1.0,0.0,0,1.0,0.0,1,0.94,0.0,0.03,-0.0,1
stt4,lắm,廪,凜,50,25,MOT,0.44,0.357,0.314,0.333,0,1.0,0.0,0,1.0,0.0,1,0.92,0.0,-0.0,-0.01,1
stt4,một,没,沒,87,18,MOT,0.52,0.342,0.39,0.36,0,1.0,0.0,0,1.0,0.0,1,0.88,0.0,-0.01,-0.01,1
stt4,một,没,殁,87,8,MOT,0.5,0.342,0.271,0.303,0,1.0,0.0,0,1.0,0.0,1,0.91,0.0,0.05,-0.02,1
stt4,một,没,殳,87,31,MOT,0.54,0.342,0.318,0.328,0,1.0,0.0,0,1.0,0.0,1,0.82,0.0,0.01,0.02,2
stt4,nghe,宜,宐,37,14,MOT,0.45,0.343,0.309,0.33,0,1.0,0.0,0,1.0,0.0,0,1.0,0.0,-0.01,0.06,1
stt4,như,如,茄,34,19,MOT,0.51,0.294,0.232,0.259,0,1.0,0.0,0,1.0,0.0,0,1.0,0.0,0.0,0.03,1
stt4,nó,奴,呶,56,13,MOT,0.52,0.296,0.243,0.267,0,1.0,0.0,0,1.0,0.0,0,1.0,0.0,0.01,0.18,2
stt4,năng,䏻,能,11,8,HAI,0.94,0.347,0.373,0.244,0,1.0,0.0,0,1.0,0.0,0,1.0,0.0,0.79,-0.03,2
stt4,phải,伂,沛,40,20,MOT,0.39,0.344,0.371,0.359,0,1.0,0.0,0,1.0,0.0,0,1.0,0.0,-0.0,-0.02,1
stt4,si,蹉,篩,22,15,HAI,1.0,0.422,0.413,0.162,0,1.0,0.0,0,1.0,0.0,0,1.0,0.0,1.0,0.03,1
stt4,thì,時,寺,200,136,MOT,0.58,0.346,0.319,0.328,0,1.0,0.0,0,1.0,0.0,1,0.75,0.0,0.03,0.0,3
stt4,tốt,卒,窣,12,11,mo,0.61,0.279,0.399,0.336,0,1.0,0.0,0,1.0,0.0,0,1.0,0.0,0.13,-0.01,1
stt4,vì,爲,為,160,33,MOT,0.51,0.385,0.379,0.373,0,1.0,0.0,0,1.0,0.0,1,0.52,0.0,0.03,-0.01,1
stt4,xin,真,嗔,22,10,MOT,0.5,0.389,0.271,0.317,0,1.0,0.0,0,1.0,0.0,0,1.0,0.0,0.1,0.07,1
stt4,xin,真,填,22,20,mo,0.61,0.389,0.319,0.355,0,1.0,0.0,0,1.0,0.0,1,0.88,0.0,0.02,0.0,1
stt4,đoạn,断,段,28,10,HAI,0.93,0.352,0.401,0.181,0,1.0,0.0,0,1.0,0.0,0,1.0,0.0,0.89,0.89,11
stt4,đã,㐌,也,74,8,MOT,0.5,0.372,0.277,0.312,0,1.0,0.0,0,1.0,0.0,1,0.85,0.0,0.22,-0.02,1
stt4,được,特,時,200,13,MOT,0.5,0.365,0.238,0.294,0,1.0,0.0,0,1.0,0.0,3,0.79,0.0,0.06,-0.02,2
stt4,được,特,持,200,10,MOT,0.5,0.365,0.259,0.303,0,1.0,0.0,0,1.0,0.0,4,0.76,0.03,0.06,-0.02,2
stt4,đến,旦,但,142,8,MOT,0.5,0.328,0.292,0.315,0,1.0,0.0,0,1.0,0.0,2,0.83,0.14,0.06,0.2,1
stt4,đức,徳,德,185,127,MOT,0.5,0.341,0.336,0.338,0,1.0,0.0,0,1.0,0.0,2,0.66,0.0,0.01,-0.0,2
