yield_match,yield_confirmed,yield_unconfirmed,yield_del,yield_ins,anchors_tested,anchor_retention,ret_noise0,ret_drop,ret_drop_syl,ret_ins_syl,ret_swap_syl,ret_tone_syl,ret_subst_char,ret_drop_char,ret_split_char,config,p_band,p_adaptive,p_similar,p_nodict,p_delins,n_columns,seeds,is_baseline,round
24596,16038,8558,404,580,629767,0.96504,1.0,0.03496,0.99923,0.99909,0.94475,0.91236,0.90789,0.99897,0.99946,band2_sim0.20_nod1.00_di0.70,2,False,0.2,1.0,0.7,1200,3,False,a
24620,16025,8595,380,556,629767,0.96501,1.0,0.03499,0.99938,0.99913,0.94427,0.91236,0.9079,0.99902,0.99951,band2_sim0.20_nod1.00_di0.85,2,False,0.2,1.0,0.85,1200,3,False,a
24741,15904,8837,259,435,629767,0.95149,1.0,0.04851,0.99918,0.99899,0.85308,0.91222,0.9079,0.99881,0.9993,band2_sim0.20_nod1.00_di1.00,2,False,0.2,1.0,1.0,1200,3,False,a
16315,16067,248,8685,8861,629767,0.96323,0.99766,0.03443,0.99627,0.99624,0.94761,0.91024,0.90571,0.99612,0.99671,band2_sim0.30_nod0.80_di0.45,2,False,0.3,0.8,0.45,1200,3,False,a
24530,16066,8464,470,646,629767,0.96553,0.99981,0.03427,0.9991,0.99897,0.94896,0.91218,0.9077,0.99884,0.99935,band2_sim0.30_nod0.80_di0.60,2,False,0.3,0.8,0.6,1200,3,False,a
24608,16032,8576,392,568,629767,0.9651,1.0,0.0349,0.99933,0.99915,0.94494,0.91235,0.90789,0.99904,0.99947,band2_sim0.30_nod0.80_di0.70,2,False,0.3,0.8,0.7,1200,3,False,a
24675,15970,8705,325,501,629767,0.96503,1.0,0.03497,0.9994,0.99917,0.94429,0.91237,0.9079,0.99907,0.99949,band2_sim0.30_nod0.80_di0.85,2,False,0.3,0.8,0.85,1200,3,False,a
24741,15904,8837,259,435,629767,0.95151,1.0,0.04849,0.99919,0.99901,0.85317,0.91222,0.9079,0.99881,0.9993,band2_sim0.30_nod0.80_di1.00,2,False,0.3,0.8,1.0,1200,3,False,a
16233,16067,166,8767,8943,629767,0.96319,0.99766,0.03447,0.99621,0.9962,0.94761,0.91018,0.90571,0.99605,0.99664,band2_sim0.30_nod0.90_di0.45,2,False,0.3,0.9,0.45,1200,3,False,a
24529,16066,8463,471,647,629767,0.96554,0.99981,0.03426,0.9991,0.99896,0.94896,0.91221,0.9077,0.99884,0.99938,band2_sim0.30_nod0.90_di0.60,2,False,0.3,0.9,0.6,1200,3,False,a
24608,16032,8576,392,568,629767,0.9651,1.0,0.0349,0.99933,0.99915,0.94494,0.91235,0.90789,0.99906,0.99948,band2_sim0.30_nod0.90_di0.70,2,False,0.3,0.9,0.7,1200,3,True,a
24676,15969,8707,324,500,629767,0.96503,1.0,0.03497,0.9994,0.99917,0.94429,0.91237,0.9079,0.99907,0.99949,band2_sim0.30_nod0.90_di0.85,2,False,0.3,0.9,0.85,1200,3,False,a
24741,15904,8837,259,435,629767,0.95151,1.0,0.04849,0.9992,0.99901,0.8532,0.91222,0.9079,0.99881,0.9993,band2_sim0.30_nod0.90_di1.00,2,False,0.3,0.9,1.0,1200,3,False,a
16067,16067,0,8933,9109,629767,0.96317,0.99766,0.03449,0.99617,0.9962,0.94761,0.91014,0.90571,0.99603,0.99662,band2_sim0.30_nod1.00_di0.45,2,False,0.3,1.0,0.45,1200,3,False,a
24529,16066,8463,471,647,629767,0.96554,0.99981,0.03427,0.99912,0.99895,0.94897,0.91217,0.9077,0.99884,0.99938,band2_sim0.30_nod1.00_di0.60,2,False,0.3,1.0,0.6,1200,3,False,a
24608,16032,8576,392,568,629767,0.9651,1.0,0.0349,0.99933,0.99915,0.94494,0.91236,0.90789,0.99904,0.99947,band2_sim0.30_nod1.00_di0.70,2,False,0.3,1.0,0.7,1200,3,False,a
24676,15969,8707,324,500,629767,0.96503,1.0,0.03497,0.99941,0.99917,0.94428,0.91236,0.9079,0.99907,0.9995,band2_sim0.30_nod1.00_di0.85,2,False,0.3,1.0,0.85,1200,3,False,a
24741,15904,8837,259,435,629767,0.9515,1.0,0.0485,0.99919,0.99901,0.85311,0.91222,0.9079,0.99881,0.9993,band2_sim0.30_nod1.00_di1.00,2,False,0.3,1.0,1.0,1200,3,False,a
16314,16066,248,8686,8862,629767,0.9635,0.99776,0.03426,0.99657,0.99664,0.94793,0.91036,0.90581,0.99646,0.99703,band2_sim0.45_nod0.80_di0.45,2,False,0.45,0.8,0.45,1200,3,False,a
24547,16059,8488,453,629,629767,0.96578,1.0,0.03422,0.99945,0.99919,0.94926,0.91235,0.90791,0.99908,0.9996,band2_sim0.45_nod0.80_di0.60,2,False,0.45,0.8,0.6,1200,3,False,a
24609,16029,8580,391,567,629767,0.96576,1.0,0.03424,0.99939,0.99925,0.94917,0.91235,0.9079,0.9991,0.99954,band2_sim0.45_nod0.80_di0.70,2,False,0.45,0.8,0.7,1200,3,False,a
24710,15935,8775,290,466,629767,0.96505,1.0,0.03495,0.9994,0.9992,0.94441,0.91237,0.9079,0.99903,0.99954,band2_sim0.45_nod0.80_di0.85,2,False,0.45,0.8,0.85,1200,3,False,a
24741,15904,8837,259,435,629767,0.9515,1.0,0.0485,0.99919,0.99902,0.85312,0.91222,0.9079,0.99881,0.9993,band2_sim0.45_nod0.80_di1.00,2,False,0.45,0.8,1.0,1200,3,False,a
16224,16066,158,8776,8952,629767,0.96345,0.99776,0.03431,0.99651,0.99659,0.94793,0.91025,0.90581,0.9964,0.99696,band2_sim0.45_nod0.90_di0.45,2,False,0.45,0.9,0.45,1200,3,False,a
24545,16060,8485,455,631,629767,0.96577,1.0,0.03423,0.99945,0.99919,0.94926,0.91232,0.90791,0.99908,0.9996,band2_sim0.45_nod0.90_di0.60,2,False,0.45,0.9,0.6,1200,3,False,a
24606,16032,8574,394,570,629767,0.96576,1.0,0.03424,0.99938,0.99926,0.94916,0.91235,0.9079,0.99912,0.99954,band2_sim0.45_nod0.90_di0.70,2,False,0.45,0.9,0.7,1200,3,False,a
24710,15935,8775,290,466,629767,0.96505,1.0,0.03495,0.9994,0.9992,0.94441,0.91237,0.9079,0.99903,0.99955,band2_sim0.45_nod0.90_di0.85,2,False,0.45,0.9,0.85,1200,3,False,a
24741,15904,8837,259,435,629767,0.95151,1.0,0.04849,0.9992,0.99902,0.85315,0.91222,0.9079,0.99881,0.9993,band2_sim0.45_nod0.90_di1.00,2,False,0.45,0.9,1.0,1200,3,False,a
